code,duplicate_replaced_by,entity_type,name,node_element_id,relation_count
EXAM-ECG,EXAM-ECG,Exam,心电图,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25499,2893
EXAM-TTE,EXAM-TTE,Exam,超声心动图,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25503,1537
PROC-CARD-E9ADC25A25E3,PROC-CARD-E9ADC25A25E3,Procedure,经皮冠状动脉介入治疗,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25690,1516
EXAM-CMR,EXAM-CMR,Exam,心脏磁共振,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25498,1129
SYM-CARD-19E67F3BE240,SYM-CARD-19E67F3BE240,Symptom,呼吸困难,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25795,903
SIGN-CARD-4E5DA62E1DA3,SIGN-CARD-4E5DA62E1DA3,Sign,心动过速,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25765,849
SYM-CARD-F3352646F3F1,SYM-CARD-F3352646F3F1,Symptom,晕厥,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25791,811
"['PROC-CARD-TEXT-53ECAA23AE', 'PROC-CARD-B8BE09194D42']",PROC-CARD-TEXT-53ECAA23AE,Procedure,经导管主动脉瓣置换术,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25696,612
PROC-CARD-2FA3B15D2F3F,PROC-CARD-TEXT-53ECAA23AE,Procedure,TAVI,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:46978,598
SYM-CARD-E3290D298A53,SYM-CARD-E3290D298A53,Symptom,心悸,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25789,593
SYM-CARD-B479F36AE54A,SYM-CARD-B479F36AE54A,Symptom,胸痛,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25787,576
SIGN-CARD-1FA3A83EF714,SIGN-CARD-1FA3A83EF714,Sign,低血压,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25754,561
