batch_id,code,duplicate_replaced_by,entity_type,name,node_element_id
"['20260716_内科学教材定义缺口补齐', 'CARD-SKELETON-FULL-20260709']","['DEF-DIS-CARD-VHD', 'CARD-SKELETON-FULL-20260709-DEFINITION-C1401E56EB9307EC']",,Definition,心脏瓣膜病定义,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:51498
"['20260716_内科学教材定义手工核准补齐', 'CARD-SKELETON-FULL-20260709']","['DEF-DIS-CARD-NEUROSIS', 'CARD-SKELETON-FULL-20260709-DEFINITION-E2120D77D4B947D6']",,Definition,心血管神经症定义,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:51500
"['20260716_内科学教材定义缺口补齐', 'CARD-SKELETON-FULL-20260709']","['DEF-DIS-CARD-INFECTIVE-ENDOCARDITIS', 'CARD-SKELETON-FULL-20260709-DEFINITION-B6B4F866106C0FF2']",,Definition,感染性心内膜炎定义,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43500
"['20260716_内科学心血管骨架V1冻结剩余硬闸门收口', 'FOUNDATION-CARD-20260624-001']","['EVID-TEXTBOOK-DEF-DEF-DIS-CARD-ARR-BRUGADA', 'EVD-CARD-FOUND-00097']",,Evidence,Brugada综合征-definition-教材证据,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43566
"['FOUNDATION-CARD-20260624-001', '20260716_内科学教材定义缺口补齐']","['EVD-CARD-FOUND-00367', 'EVID-DEF-DIS-CARD-CHD-BAV']",,Evidence,二叶主动脉瓣-definition-教材证据,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:518
"['FOUNDATION-CARD-20260624-001', '20260716_内科学教材定义缺口补齐']","['EVD-CARD-FOUND-00369', 'EVID-DEF-DIS-CARD-CHD-COA']",,Evidence,先天性主动脉缩窄-definition-教材证据,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:520
"['FOUNDATION-CARD-20260624-001', '20260716_内科学教材定义缺口补齐']","['EVD-CARD-FOUND-00382', 'EVID-DEF-DIS-CARD-CHD-CAF']",,Evidence,冠状动脉瘘-definition-教材证据,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:533
"['20260716_内科学心血管骨架V1冻结剩余硬闸门收口', 'FOUNDATION-CARD-20260624-001']","['EVID-TEXTBOOK-DEF-DEF-DIS-CARD-CAD-CHD', 'EVD-CARD-FOUND-00126']",,Evidence,冠状动脉粥样硬化性心脏病-definition-教材证据,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43541
"['20260716_内科学心血管骨架V1冻结剩余硬闸门收口', 'FOUNDATION-CARD-20260624-001']","['EVID-TEXTBOOK-DEF-DEF-DIS-CARD-SCD-SUDDEN', 'EVD-CARD-FOUND-00474']",,Evidence,心脏性猝死-definition-教材证据,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43535
"['20260716_内科学心血管骨架V1冻结剩余硬闸门收口', 'FOUNDATION-CARD-20260624-001']","['EVID-TEXTBOOK-DEF-DEF-DIS-CARD-SCD-ARREST', 'EVD-CARD-FOUND-00472']",,Evidence,心脏骤停-definition-教材证据,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:37052
"['FOUNDATION-CARD-20260624-001', '20260716_内科学教材定义手工核准补齐']","['EVD-CARD-FOUND-00501', 'EVID-DEF-DIS-CARD-NEUROSIS']",,Evidence,心血管神经症-definition-教材证据,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:652
"['20260716_内科学心血管骨架V1冻结剩余硬闸门收口', 'FOUNDATION-CARD-20260624-001']","['EVID-TEXTBOOK-DEF-DEF-CARD-CADREM-AMI-70CA4D0055', 'EVD-CARD-FOUND-00179']",,Evidence,急性心肌梗死-definition-教材证据,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43567
"['FOUNDATION-CARD-20260624-001', '20260716_内科学教材定义缺口补齐']","['EVD-CARD-FOUND-00450', 'EVID-DEF-DIS-CARD-INFECTIVE-ENDOCARDITIS']",,Evidence,感染性心内膜炎-definition-教材证据,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:601
"['20260716_内科学心血管骨架V1冻结剩余硬闸门收口', 'FOUNDATION-CARD-20260624-001']","['EVID-TEXTBOOK-DEF-DEF-DIS-CARD-ARR-PSVT', 'EVD-CARD-FOUND-00054']",,Evidence,阵发性室上性心动过速-definition-教材证据,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43568
"['FOUNDATION-CARD-20260624-001', '20260716_内科学教材定义手工核准补齐']","['EVD-CARD-FOUND-00233', 'EVID-DEF-DIS-CARD-HTN-EMERGENCY']",,Evidence,高血压急症和亚急症-definition-教材证据,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:384
"['BATCH-CARD-HT-20260709-001_高血压_Hypertension', '20260716_内科学心血管骨架V1.1临床可推理层下钻治理']","['IND-CARD-8EDA33C8602F', 'IND-EXAM-CARD-F172A71AF16D-24小时平均血压']",,ExamIndicator,24小时平均血压,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:42805
"['BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter', '20260716_内科学心血管骨架V1.1临床可推理层下钻治理']","['DXC-CARD-F7025E7AB077', 'IND-EXAM-CARD-A80B855C8C77-PR间期', 'IND-EXAM-ECG-PR间期']",,ExamIndicator,PR间期,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:30732
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CARD-A80B855C8C77-QRS波时限', 'IND-EXAM-ECG-QRS波时限']",,ExamIndicator,QRS波时限,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:39350
"['BATCH-CARD-VA-SCD-20260704-001_室性心律失常心脏性猝死_VA_SCD', '20260716_内科学心血管骨架V1.1临床可推理层下钻治理']","['IND-CARD-FBF6BA629985', 'IND-EXAM-CARD-A80B855C8C77-QT间期', 'IND-EXAM-ECG-QT间期']",,ExamIndicator,QT间期,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:34171
"['BATCH-CARD-CAD-20260623-001', '20260716_内科学心血管骨架V1.1临床可推理层下钻治理']","['IND-CARD-6B1C9ED7E8FB', 'IND-EXAM-CARD-A80B855C8C77-ST段压低', 'IND-EXAM-ECG-ST段压低']",,ExamIndicator,ST段压低,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25522
"['BATCH-CARD-CAD-20260623-001', '20260716_内科学心血管骨架V1.1临床可推理层下钻治理']","['IND-CARD-340F2703D39C', 'IND-EXAM-CARD-A80B855C8C77-ST段抬高', 'IND-EXAM-ECG-ST段抬高']",,ExamIndicator,ST段抬高,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25521
"['BATCH-CARD-CAD-STEMI-20260712-001', '20260716_内科学心血管骨架V1.1临床可推理层下钻治理']","['IND-CARD-STEMI-97C7D041D11F', 'IND-EXAM-CARD-A80B855C8C77-T波倒置', 'IND-EXAM-ECG-T波倒置']",,ExamIndicator,T波倒置,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43092
"['BATCH-CARD-HT-20260709-001_高血压_Hypertension', '20260716_内科学心血管骨架V1.1临床可推理层下钻治理']","['IND-CARD-F253DB167E81', 'LABIND-EXAM-HT-CKD-EGFR-UACR-估算肾小球滤过率', 'LABIND-LAB-CARD-RENAL-ELECTROLYTE-CDSS-估算肾小球滤过率']",,ExamIndicator,估算肾小球滤过率,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:42808
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CARD-F60922D428D5-冠状动脉斑块性质', 'IND-EXAM-CARD-TEXT-2BB358B9BF-冠状动脉斑块性质']",,ExamIndicator,冠状动脉斑块性质,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43196
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CAG-冠状动脉狭窄程度', 'IND-EXAM-CARD-F60922D428D5-冠状动脉狭窄程度', 'IND-EXAM-CARD-TEXT-2BB358B9BF-冠状动脉狭窄程度']",,ExamIndicator,冠状动脉狭窄程度,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43179
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CARD-TEXT-2BB358B9BF-冠状动脉起源异常', 'IND-EXAM-CARD-F60922D428D5-冠状动脉起源异常']",,ExamIndicator,冠状动脉起源异常,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43193
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CARD-F60922D428D5-冠状动脉钙化', 'IND-EXAM-CARD-TEXT-2BB358B9BF-冠状动脉钙化', 'IND-EXAM-CARD-1A108BEFCEA9-冠状动脉钙化']",,ExamIndicator,冠状动脉钙化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43204
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CARD-F6AAC5622DEA-占位或积液', 'IND-EXAM-CARD-TEXT-9A031190AE-占位或积液', 'IND-CARD-SKELETON-20260709-EXAM-4974BA875B54084B-占位或积液']",,ExamIndicator,占位或积液,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:36216
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CARD-85148D8A75A3-室性心律失常诱发', 'IND-EXAM-CARD-TEXT-C33E64A777-室性心律失常诱发']",,ExamIndicator,室性心律失常诱发,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25625
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CARD-CADREM-STABLE-ANGINA-2B3BD0A8FA-室性早搏负荷', 'IND-EXAM-HOLTER-室性早搏负荷', 'IND-EXAM-CARD-A096A6416690-室性早搏负荷']",,ExamIndicator,室性早搏负荷,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:28936
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-TTE-左室射血分数', 'IND-EXAM-CARD-TEXT-8633D5B324-左室射血分数', 'IND-EXAM-CARD-09DFFB573658-左室射血分数', 'IND-EXAM-CARD-STEMI-43AF84ECFEAC-左室射血分数']",,ExamIndicator,左室射血分数,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25652
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CARD-09DFFB573658-延迟钆增强', 'IND-EXAM-CARD-TEXT-8633D5B324-延迟钆增强']",,ExamIndicator,延迟钆增强,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43330
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CARD-09DFFB573658-心室容积', 'IND-EXAM-CARD-TEXT-8633D5B324-心室容积']",,ExamIndicator,心室容积,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43334
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-CARD-SKELETON-20260709-EXAM-B66979D14041DD2B-心影增大', 'IND-EXAM-CARD-CHEST-IMAGING-CDSS-心影增大', 'IND-EXAM-CARD-TEXT-BE9C2270C9-心影增大']",,ExamIndicator,心影增大,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43272
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CARD-A80B855C8C77-心律', 'IND-EXAM-ECG-心律']",,ExamIndicator,心律,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25665
