duplicate_code,duplicate_name,related_code,related_name,relation_type,standard_node_code
MED-CARD-STD-C685CE7163,维拉帕米,ENT-CARD-5DB378A76B91,病态窦房结综合征,blocks_action,MED-CARD-C685CE7163F5
MED-CARD-STD-C685CE7163,维拉帕米,ENT-CARD-E2A280D1FC43,二度或三度房室传导阻滞,blocks_action,MED-CARD-C685CE7163F5
MED-CARD-STD-C685CE7163,维拉帕米,ENT-CARD-E326DEF64FED,严重低血压,blocks_action,MED-CARD-C685CE7163F5
MED-CARD-STD-C685CE7163,维拉帕米,ENT-CARD-FCEE7105B80C,预激合并房颤,blocks_action,MED-CARD-C685CE7163F5
EXAM-CARD-3A1C9D9E3AEB,CTA,EXAM-CARD-CF719F4B0836,CT血管造影,deprecated_duplicate_of,EXAM-CARD-CF719F4B0836
EVD-CARD-DEEP-2E78252BA488DA,心房扑动-心动过速-教材证据-6949-A488DA,REC-CDSS-CARD-ARR-AFL-RATE-CONTROL,心房扑动伴快速心室率时，建议评估心室率控制策略；药物或复律选择需结合血流动力学状态和禁忌证。,derived_from,EVD-CARD-DEEP-644CBD55A70B89
EVD-CARD-DEEP-2E78252BA488DA,心房扑动-心动过速-教材证据-6949-A488DA,SRCADJ-CARD-BULK-A802B56DC69C9AAD,心律失常推荐来源裁决｜心房扑动伴快速心室率时，建议评估心室率控制策略；药物或复律选择需结合血流动力学状态和禁忌证。,derived_from,EVD-CARD-DEEP-644CBD55A70B89
CARD-SKELETON-FULL-20260709-DEFINITION-8A11A000022C1D3E,急性冠脉综合征定义,TXTSEC-CARD-284F3646EE9C4726,第四节急性冠脉综合征,derived_from,DEF-CARD-CADREM-ACS-ABE4D268EA
CARD-SKELETON-FULL-20260709-DEFINITION-488590627E403957,稳定型心绞痛定义,TXTSEC-CARD-BE578D240807E305,一、稳定型心绞痛,derived_from,DEF-CARD-CADREM-STABLE-ANGINA-F40CB51F94
EXAM-CARD-F6AAC5622DEA,CT,"['IND-CARD-SKELETON-20260709-EXAM-4974BA875B54084B-结构异常', 'IND-EXAM-CARD-TEXT-9A031190AE-结构异常', 'IND-EXAM-CARD-F6AAC5622DEA-结构异常']",结构异常,exam_has_indicator,EXAM-CARD-TEXT-9A031190AE
