实体类型,实体名称,原编码,最终主编码,处理方式,原节点元素ID,主节点元素ID
Definition,心脏瓣膜病定义,"[""DEF-DIS-CARD-VHD"", ""CARD-SKELETON-FULL-20260709-DEFINITION-C1401E56EB9307EC""]",DEF-DIS-CARD-VHD,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:51498,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:51498
Definition,心血管神经症定义,"[""DEF-DIS-CARD-NEUROSIS"", ""CARD-SKELETON-FULL-20260709-DEFINITION-E2120D77D4B947D6""]",DEF-DIS-CARD-NEUROSIS,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:51500,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:51500
Definition,感染性心内膜炎定义,"[""DEF-DIS-CARD-INFECTIVE-ENDOCARDITIS"", ""CARD-SKELETON-FULL-20260709-DEFINITION-B6B4F866106C0FF2""]",DEF-DIS-CARD-INFECTIVE-ENDOCARDITIS,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43500,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43500
Evidence,Brugada综合征-definition-教材证据,"[""EVID-TEXTBOOK-DEF-DEF-DIS-CARD-ARR-BRUGADA"", ""EVD-CARD-FOUND-00097""]",EVID-TEXTBOOK-DEF-DEF-DIS-CARD-ARR-BRUGADA,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43566,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43566
Evidence,二叶主动脉瓣-definition-教材证据,"[""EVD-CARD-FOUND-00367"", ""EVID-DEF-DIS-CARD-CHD-BAV""]",EVID-DEF-DIS-CARD-CHD-BAV,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:518,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:518
Evidence,先天性主动脉缩窄-definition-教材证据,"[""EVD-CARD-FOUND-00369"", ""EVID-DEF-DIS-CARD-CHD-COA""]",EVID-DEF-DIS-CARD-CHD-COA,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:520,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:520
Evidence,冠状动脉瘘-definition-教材证据,"[""EVD-CARD-FOUND-00382"", ""EVID-DEF-DIS-CARD-CHD-CAF""]",EVID-DEF-DIS-CARD-CHD-CAF,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:533,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:533
Evidence,冠状动脉粥样硬化性心脏病-definition-教材证据,"[""EVID-TEXTBOOK-DEF-DEF-DIS-CARD-CAD-CHD"", ""EVD-CARD-FOUND-00126""]",EVID-TEXTBOOK-DEF-DEF-DIS-CARD-CAD-CHD,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43541,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43541
Evidence,心脏性猝死-definition-教材证据,"[""EVID-TEXTBOOK-DEF-DEF-DIS-CARD-SCD-SUDDEN"", ""EVD-CARD-FOUND-00474""]",EVID-TEXTBOOK-DEF-DEF-DIS-CARD-SCD-SUDDEN,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43535,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43535
Evidence,心脏骤停-definition-教材证据,"[""EVID-TEXTBOOK-DEF-DEF-DIS-CARD-SCD-ARREST"", ""EVD-CARD-FOUND-00472""]",EVID-TEXTBOOK-DEF-DEF-DIS-CARD-SCD-ARREST,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:37052,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:37052
Evidence,心血管神经症-definition-教材证据,"[""EVD-CARD-FOUND-00501"", ""EVID-DEF-DIS-CARD-NEUROSIS""]",EVID-DEF-DIS-CARD-NEUROSIS,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:652,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:652
Evidence,急性心肌梗死-definition-教材证据,"[""EVID-TEXTBOOK-DEF-DEF-CARD-CADREM-AMI-70CA4D0055"", ""EVD-CARD-FOUND-00179""]",EVID-TEXTBOOK-DEF-DEF-CARD-CADREM-AMI-70CA4D0055,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43567,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43567
