实体类型,重复节点名称,重复节点编码,保留主节点名称,保留主节点编码,处理原因,重复节点元素ID,主节点元素ID,处置
Evidence,心肌炎-心动过速-教材证据-6949-40DF56,"""EVD-CARD-DEEP-0D05F2C240DF56""",房性心动过速-心动过速-教材证据-6949-A70B89,EVD-CARD-DEEP-644CBD55A70B89,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:10710,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:6960,迁移全部关系后物理删除重复节点
Evidence,心肌炎-心动过缓-教材证据-6949-4A6F50,"""EVD-CARD-DEEP-5774C5314A6F50""",房性心动过速-心动过速-教材证据-6949-A70B89,EVD-CARD-DEEP-644CBD55A70B89,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:10711,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:6960,迁移全部关系后物理删除重复节点
Evidence,心肌炎-低血压-教材证据-6949-A03E83,"""EVD-CARD-DEEP-D3313B3EA03E83""",房性心动过速-心动过速-教材证据-6949-A70B89,EVD-CARD-DEEP-644CBD55A70B89,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:10712,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:6960,迁移全部关系后物理删除重复节点
Evidence,心肌炎-肾功能-教材证据-6949-A060D6,"""EVD-CARD-DEEP-5B6B3BE3A060D6""",房性心动过速-心动过速-教材证据-6949-A70B89,EVD-CARD-DEEP-644CBD55A70B89,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:10713,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:6960,迁移全部关系后物理删除重复节点
Evidence,心肌炎-洋地黄类药物-教材证据-6949-B52B28,"""EVD-CARD-DEEP-D945324CB52B28""",房性心动过速-心动过速-教材证据-6949-A70B89,EVD-CARD-DEEP-644CBD55A70B89,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:10714,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:6960,迁移全部关系后物理删除重复节点
Evidence,心肌炎-心力衰竭-教材证据-6949-3A0B0A,"""EVD-CARD-DEEP-AC5470053A0B0A""",房性心动过速-心动过速-教材证据-6949-A70B89,EVD-CARD-DEEP-644CBD55A70B89,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:10715,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:6960,迁移全部关系后物理删除重复节点
Evidence,心肌炎-心律失常-教材证据-6949-973E07,"""EVD-CARD-DEEP-28B8FA34973E07""",房性心动过速-心动过速-教材证据-6949-A70B89,EVD-CARD-DEEP-644CBD55A70B89,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:10716,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:6960,迁移全部关系后物理删除重复节点
Evidence,二尖瓣狭窄-心动过速-教材证据-6949-46CCD2,"""EVD-CARD-DEEP-FBD078BD46CCD2""",房性心动过速-心动过速-教材证据-6949-A70B89,EVD-CARD-DEEP-644CBD55A70B89,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:11284,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:6960,迁移全部关系后物理删除重复节点
Evidence,二尖瓣狭窄-心动过缓-教材证据-6949-B52D56,"""EVD-CARD-DEEP-349918A1B52D56""",房性心动过速-心动过速-教材证据-6949-A70B89,EVD-CARD-DEEP-644CBD55A70B89,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:11285,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:6960,迁移全部关系后物理删除重复节点
Evidence,二尖瓣狭窄-低血压-教材证据-6949-DB654D,"""EVD-CARD-DEEP-B4D8DCDADB654D""",房性心动过速-心动过速-教材证据-6949-A70B89,EVD-CARD-DEEP-644CBD55A70B89,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:11286,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:6960,迁移全部关系后物理删除重复节点
Evidence,二尖瓣狭窄-肾功能-教材证据-6949-E92973,"""EVD-CARD-DEEP-E2636284E92973""",房性心动过速-心动过速-教材证据-6949-A70B89,EVD-CARD-DEEP-644CBD55A70B89,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:11287,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:6960,迁移全部关系后物理删除重复节点
Evidence,二尖瓣狭窄-洋地黄类药物-教材证据-6949-B6F1CE,"""EVD-CARD-DEEP-4130D5CAB6F1CE""",房性心动过速-心动过速-教材证据-6949-A70B89,EVD-CARD-DEEP-644CBD55A70B89,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:11288,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:6960,迁移全部关系后物理删除重复节点
Evidence,二尖瓣狭窄-心力衰竭-教材证据-6949-494448,"""EVD-CARD-DEEP-5DBCA48E494448""",房性心动过速-心动过速-教材证据-6949-A70B89,EVD-CARD-DEEP-644CBD55A70B89,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:11289,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:6960,迁移全部关系后物理删除重复节点
Evidence,二尖瓣狭窄-心律失常-教材证据-6949-560C0B,"""EVD-CARD-DEEP-6E2C570D560C0B""",房性心动过速-心动过速-教材证据-6949-A70B89,EVD-CARD-DEEP-644CBD55A70B89,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:11290,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:6960,迁移全部关系后物理删除重复节点
Evidence,缩窄性心包炎-心动过速-教材证据-6949-8ED1B7,"""EVD-CARD-DEEP-74EB705C8ED1B7""",房性心动过速-心动过速-教材证据-6949-A70B89,EVD-CARD-DEEP-644CBD55A70B89,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:11564,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:6960,迁移全部关系后物理删除重复节点
Evidence,缩窄性心包炎-心动过缓-教材证据-6949-5D2C4D,"""EVD-CARD-DEEP-EF5028C35D2C4D""",房性心动过速-心动过速-教材证据-6949-A70B89,EVD-CARD-DEEP-644CBD55A70B89,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:11565,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:6960,迁移全部关系后物理删除重复节点
Evidence,缩窄性心包炎-低血压-教材证据-6949-3671AA,"""EVD-CARD-DEEP-A08676233671AA""",房性心动过速-心动过速-教材证据-6949-A70B89,EVD-CARD-DEEP-644CBD55A70B89,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:11566,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:6960,迁移全部关系后物理删除重复节点
Evidence,缩窄性心包炎-肾功能-教材证据-6949-344990,"""EVD-CARD-DEEP-DE853DE5344990""",房性心动过速-心动过速-教材证据-6949-A70B89,EVD-CARD-DEEP-644CBD55A70B89,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:11567,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:6960,迁移全部关系后物理删除重复节点
Evidence,缩窄性心包炎-洋地黄类药物-教材证据-6949-33C48E,"""EVD-CARD-DEEP-7157212133C48E""",房性心动过速-心动过速-教材证据-6949-A70B89,EVD-CARD-DEEP-644CBD55A70B89,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:11568,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:6960,迁移全部关系后物理删除重复节点
Evidence,缩窄性心包炎-心力衰竭-教材证据-6949-18FBD4,"""EVD-CARD-DEEP-920E507018FBD4""",房性心动过速-心动过速-教材证据-6949-A70B89,EVD-CARD-DEEP-644CBD55A70B89,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:11569,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:6960,迁移全部关系后物理删除重复节点
Evidence,缩窄性心包炎-心律失常-教材证据-6949-BE56EC,"""EVD-CARD-DEEP-D969E317BE56EC""",房性心动过速-心动过速-教材证据-6949-A70B89,EVD-CARD-DEEP-644CBD55A70B89,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:11570,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:6960,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-药物治疗-全书回捞证据-7283-0BCC60,"""EVD-CARD-FULLBOOK-9F9A2FBC0BCC60""",心力衰竭-呼吸困难-全书回捞证据-7283-51009C,EVD-CARD-FULLBOOK-2CBBDD5E51009C,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:12972,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:12971,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-血运重建-全书回捞证据-7283-8C00A5,"""EVD-CARD-FULLBOOK-C706488D8C00A5""",心力衰竭-呼吸困难-全书回捞证据-7283-51009C,EVD-CARD-FULLBOOK-2CBBDD5E51009C,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:12973,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:12971,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-动脉粥样硬化-全书回捞证据-7283-CA9EA1,"""EVD-CARD-FULLBOOK-41E1DB60CA9EA1""",心力衰竭-呼吸困难-全书回捞证据-7283-51009C,EVD-CARD-FULLBOOK-2CBBDD5E51009C,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:12974,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:12971,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-心力衰竭-全书回捞证据-7283-60382F,"""EVD-CARD-FULLBOOK-F08681D460382F""",心力衰竭-呼吸困难-全书回捞证据-7283-51009C,EVD-CARD-FULLBOOK-2CBBDD5E51009C,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:12975,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:12971,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-猝死-全书回捞证据-7283-43C950,"""EVD-CARD-FULLBOOK-93D6B59743C950""",心力衰竭-呼吸困难-全书回捞证据-7283-51009C,EVD-CARD-FULLBOOK-2CBBDD5E51009C,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:12976,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:12971,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-劳力性呼吸困难-全书回捞证据-7529-E071C2,"""EVD-CARD-FULLBOOK-BA5FD9FDE071C2""",心力衰竭-呼吸困难-全书回捞证据-7529-428DE8,EVD-CARD-FULLBOOK-3148AB1C428DE8,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13021,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13020,迁移全部关系后物理删除重复节点
