实体类型,实体名称,当前编码,失效替代目标,处置,节点元素ID
Exam,冠状动脉造影,"""EXAM-CAG""",EXAM-CAG,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25497
Exam,心脏磁共振,"""EXAM-CMR""",EXAM-CMR,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25498
Exam,心电图,"""EXAM-ECG""",EXAM-ECG,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25499
Exam,超声心动图,"""EXAM-TTE""",EXAM-TTE,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25503
Exam,运动负荷试验,"""EXAM-CARD-241B4B0218DF""",EXAM-CARD-241B4B0218DF,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25504
Exam,冠状动脉CT血管成像,"""EXAM-CARD-F60922D428D5""",EXAM-CARD-F60922D428D5,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25505
LabTest,肌酸激酶同工酶（CK-MB）,"""LAB-CARD-960C7CE8E22B""",LAB-CARD-960C7CE8E22B,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25592
LabTest,心肌肌钙蛋白,"""LAB-CARD-A9EC1D4DA037""",LAB-CARD-A9EC1D4DA037,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25593
LabTest,血糖,"""LAB-CARD-TEXT-43D8A5AEE4""",LAB-CARD-TEXT-43D8A5AEE4,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25601
LabTest,肾功能,"""LAB-CARD-TEXT-07B39C98F1""",LAB-CARD-TEXT-07B39C98F1,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25602
Medication,非二氢吡啶类钙通道阻滞剂,"""MED-NDHP-CCB""",MED-NDHP-CCB,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25607
Medication,硝酸酯类药物,"""MED-CARD-55157DA54154""",MED-CARD-55157DA54154,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25612
Medication,P2Y12受体抑制剂,"""MED-CARD-86E5A960E1BF""",MED-CARD-86E5A960E1BF,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25613
Medication,阿司匹林,"""MED-CARD-9F606AC80BFD""",MED-CARD-9F606AC80BFD,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25614
Medication,钙通道阻滞剂,"""MED-CARD-TEXT-28E925C6DE""",MED-CARD-TEXT-28E925C6DE,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25623
Procedure,心脏移植,"""PROC-HEART-TRANSPLANT""",PROC-HEART-TRANSPLANT,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25685
Procedure,溶栓治疗,"""PROC-CARD-DA0F467D4A30""",PROC-CARD-DA0F467D4A30,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25689
Procedure,经皮冠状动脉介入治疗,"""PROC-CARD-E9ADC25A25E3""",PROC-CARD-E9ADC25A25E3,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25690
Procedure,经导管主动脉瓣置换术,"[""PROC-CARD-TEXT-53ECAA23AE"", ""PROC-CARD-B8BE09194D42""]",PROC-CARD-TEXT-53ECAA23AE,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25696
RiskFactor,高血压,"[""RF-CARD-DE0A9F1FE2C8"", ""RISKCOMP-RISK-CARD-BD6FBD0D2712-高血压"", ""RISKCOMP-RISK-CARD-E21D88A4688D-高血压""]",RF-CARD-DE0A9F1FE2C8,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25729
Sign,肺水肿,"""SIGN-CARD-1431D67A6000""",SIGN-CARD-1431D67A6000,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25753
Sign,低血压,"""SIGN-CARD-1FA3A83EF714""",SIGN-CARD-1FA3A83EF714,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25754
Sign,水肿,"""SIGN-CARD-52CC24CD4C33""",SIGN-CARD-52CC24CD4C33,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25755
Sign,第四心音,"""SIGN-CARD-658603F4081B""",SIGN-CARD-658603F4081B,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25756
Sign,奔马律,"""SIGN-CARD-75EFE91EFEED""",SIGN-CARD-75EFE91EFEED,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25758
Sign,心脏杂音,"""SIGN-CARD-92548DA98265""",SIGN-CARD-92548DA98265,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25760
Sign,第三心音,"""SIGN-CARD-B0814CB800B1""",SIGN-CARD-B0814CB800B1,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25761
Sign,心音减弱,"""SIGN-CARD-E5C7FF8F1850""",SIGN-CARD-E5C7FF8F1850,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25762
Sign,心脏扩大,"""SIGN-CARD-EB9D2F421114""",SIGN-CARD-EB9D2F421114,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25763
Sign,颈静脉怒张,"""SIGN-CARD-37D71F7E64B1""",SIGN-CARD-37D71F7E64B1,保留当前主节点；旧替代编码进入历史来源编码；清除失效标记,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25764
