对象,Oracle表,有效记录数,空名称数,同名重复组数,空编码数,重复编码组数,性别限制已填数,年龄下限已填数,年龄上限已填数,当前判断
标准诊断,K_ICD10_DICT,42073,0,1314,0,0,41978,40,123,有效标志不等于准确；同名重复和限制编码必须二次校验
药品,K_DRUG_DICT,23768,0,2,0,0,0,0,0,需结合监管批准说明书核验名称与别名
检查项目,K_EXAM_ITEM_DICT,4564,0,1,0,1,533,1,27,存在重复编码组；项目与检查发现必须分开
检验项目,K_LAB_ITEM_DICT,6297,0,0,0,0,273,0,15,项目身份较整齐但年龄和性别限制不能无证据直用
检验细项,K_LAB_SUBITEM_DICT,2454,0,11,0,27,0,0,0,存在同名和重复编码；必须核验单位及所属检验项目
检验标本,K_LAB_SAMPLE_DICT,117,0,0,38,12,0,0,0,编码缺失和重复明显；需治理后使用
手术操作,K_OPERATION_HANDLE_DICT,17462,0,1,0,0,2389,0,0,需对照手术编码标准和临床语义
治疗项目,K_TREATMENT_DICT,11205,0,0,0,0,810,0,0,需确认与药品、手术边界
症状,K_SYMPTOM_DICT,5423,0,39,0,0,0,0,0,需与体征拆分并治理同名项
体征,K_SIGN_DICT,12,0,2,不适用,不适用,0,0,0,覆盖量明显不足；不能作为完整体征标准
医学术语,K_TERM,27460,0,1606,0,0,0,0,0,同名重复较多；需结合术语类别和别名关系去歧义
术语同义词,K_TERM_SYNONYM,69,0,1,不适用,不适用,0,0,0,数量过少；需持续沉淀别名
