element_id,entity_type,kg_code,kg_name,kg_aliases,degree,dict_table,status,match_type,match_confidence,dict_id,dict_code,dict_name
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25794,Symptom,SYM-CARD-1130B3D9AB8F,上腹部疼痛,"['上腹部疼痛', '腹痛']",44,K_SYMPTOM_DICT,matched,name,1.0,dc1ced8079c0ffe63fb624d49b1d4e81,Z102228,上腹部疼痛
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25804,Symptom,SYM-CARD-FULLBOOK-EF5BF0B7D6,下肢疼痛,"['肢体疼痛', '胀痛', '下肢疼痛']",5,K_SYMPTOM_DICT,matched,name,1.0,1025da785240e0f43ec427ae6ed102fd,Z103122,下肢疼痛
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25782,Symptom,SYM-CARD-0ACC45EF4E60,乏力,"['乏力', '无力', '疲乏']",285,K_SYMPTOM_DICT,matched,name,1.0,0FCFB1D8-863F-4710-B125-70A20C16912B,Z100579,乏力
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25798,Symptom,SYM-CARD-BC91622FC62F,出汗,"['冷汗', '出汗', '大汗']",56,K_SYMPTOM_DICT,matched,name,1.0,6ffc1faa52491ff1ac4798564802d414,Z100229,出汗
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25784,Symptom,SYM-CARD-3C54A8AA7CDB,劳力性呼吸困难,"['劳力性呼吸困难', '劳力性气短', '活动后呼吸困难', '活动后气促', '活动后气急', '活动后气短']",90,K_SYMPTOM_DICT,matched,name,1.0,66c20b6b9f456a58378c545064c430e8,Z101546,劳力性呼吸困难
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43159,Symptom,SYM-CARD-STEMI-94A5C68D5173,发绀,['发绀'],2,K_SYMPTOM_DICT,matched,name,1.0,3ECF461B-9F43-411F-B38B-02FE193C5480,Z100556,发绀
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43009,Symptom,SYM-CARD-37D08FA41123,呕吐,['呕吐'],49,K_SYMPTOM_DICT,matched,name,1.0,E842CAD4-383E-47AC-AACE-B330EABF14B4,Z101822,呕吐
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25795,Symptom,SYM-CARD-19E67F3BE240,呼吸困难,"['呼吸困难', '气促', '气短']",445,K_SYMPTOM_DICT,matched,name,1.0,1F14524B-38FC-4D43-822D-E398C503D6F2,Z101023,呼吸困难
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:49262,Symptom,SYM-CARD-DB87B8B091D1,咯血,"['咳血', '咯血']",51,K_SYMPTOM_DICT,matched,name,1.0,7BC92939-34E1-4E95-A893-917C31E14045,Z100855,咯血
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25800,Symptom,SYM-CARD-TEXT-24EDE9C876,咳嗽,['咳嗽'],92,K_SYMPTOM_DICT,matched,name,1.0,83FD4972-629F-4F93-BC9A-06CA8739EE84,Z101476,咳嗽
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:26276,Symptom,SYM-CARD-CM-FABRY-MULTISYSTEM-SYMPTOMS,多系统受累症状,"['肢端疼痛', '少汗', '胃肠道症状', '活动耐量下降', '心悸', '多脏器病变', '相应临床表现', '心脏受累', '多系统受累症状']",1,K_SYMPTOM_DICT,matched,alias,0.98,8ff5e3e50247175b586761b43e2cbe39,Z103526,肢端疼痛
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25786,Symptom,SYM-CARD-9BD3C4F11F7E,夜间阵发性呼吸困难,"['夜间阵发呼吸困难', '夜间阵发性呼吸困难']",32,K_SYMPTOM_DICT,matched,name,1.0,JZ_SD000024,Z103277,夜间阵发性呼吸困难
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25785,Symptom,SYM-CARD-6DA3580C8B73,头晕,"['头昏', '头晕', '眩晕']",206,K_SYMPTOM_DICT,matched,name,1.0,75C08BC9-B301-4622-BEE5-28ACE9EDD4A4,Z102698,头晕
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43010,Symptom,SYM-CARD-3CB0D0DB56FA,头痛,"['头部疼痛', '头痛']",59,K_SYMPTOM_DICT,matched,name,1.0,CC471062-A9B7-4569-B416-A2A4C6DED5F9,Z102654,头痛
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:37058,Symptom,CARD-SKELETON-20260709-SYMPTOM-09FEE8C6A3FB53E2,少尿,['少尿'],14,K_SYMPTOM_DICT,matched,name,1.0,1AD46E10-A1AE-4F38-A547-7462BA1197AC,Z102347,少尿
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43585,Symptom,SYM-CARD-CADREM-AMI-2EF0504672,尿量减少,['尿量减少'],4,K_SYMPTOM_DICT,matched,name,1.0,30439c3cbe3e76c0679e6c8285e277ac,Z101740,尿量减少
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:26274,Symptom,SYM-CARD-CM-AMYLOID-HF-SYMPTOMS,心力衰竭相关症状,"['活动耐量下降', '呼吸困难', '食欲缺乏', '腹胀', '水肿', '心力衰竭相关症状']",1,K_SYMPTOM_DICT,matched,alias,0.98,1F14524B-38FC-4D43-822D-E398C503D6F2,Z101023,呼吸困难
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:26277,Symptom,SYM-CARD-CM-NDLVCM-ARRHYTHMIA-HF,心律失常或心功能不全相关症状,"['心悸', '晕厥', '活动耐量下降', '心力衰竭症状', '严重心律失常', '心律失常或心功能不全相关症状']",1,K_SYMPTOM_DICT,matched,alias,0.98,DA8A7722-2316-4993-AC00-8E8B7596E178,Z102959,心悸
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25789,Symptom,SYM-CARD-E3290D298A53,心悸,['心悸'],297,K_SYMPTOM_DICT,matched,name,1.0,DA8A7722-2316-4993-AC00-8E8B7596E178,Z102959,心悸
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:26275,Symptom,SYM-CARD-CM-ATRIAL-PALPITATION-DYSPNEA,心悸和活动后气促,"['心悸', '气促', '活动耐量下降', '房颤相关症状', '房性心律失常', '心力衰竭相关表现', '症状常由房性心律失常', '心悸和活动后气促']",1,K_SYMPTOM_DICT,matched,alias,0.98,DA8A7722-2316-4993-AC00-8E8B7596E178,Z102959,心悸
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:37059,Symptom,CARD-SKELETON-20260709-SYMPTOM-E201291B32C71911,心绞痛,['心绞痛'],133,K_SYMPTOM_DICT,matched,name,1.0,6c7049f82a8ee3a90dbf0ab61e44482a,Z102971,心绞痛
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43155,Symptom,SYM-CARD-STEMI-ACFEA19A16B1,恐惧,['恐惧'],2,K_SYMPTOM_DICT,matched,name,1.0,149843A8-64B1-41B5-AFF0-95272DB8CD3D,Z101447,恐惧
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43014,Symptom,SYM-CARD-DC14CC4FD081,恶心,['恶心'],41,K_SYMPTOM_DICT,matched,name,1.0,607D3224-36F4-462B-992C-810B97DFD4B2,Z100484,恶心
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:34242,Symptom,SYM-CARD-12D1874BF78F,抽搐,"['惊厥', '抽搐']",46,K_SYMPTOM_DICT,matched,name,1.0,C20AA788-1D60-49EC-9773-F30E2E477CD6,Z100195,抽搐
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25791,Symptom,SYM-CARD-F3352646F3F1,晕厥,"['昏厥', '晕厥', '黑矇']",359,K_SYMPTOM_DICT,matched,name,1.0,864ad085d558372ff340514a8433e31d,Z103231,晕厥
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:35850,Symptom,SYM-CARD-C9FC2AB492AC,晕厥、头晕和乏力,"['晕厥', '头晕', '黑矇', '乏力', '症状', '活动耐量下降', '头晕和乏力']",1,K_SYMPTOM_DICT,matched,alias,0.98,864ad085d558372ff340514a8433e31d,Z103231,晕厥
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:30711,Symptom,SYM-CARD-B7503EEC7A09,气短,"['呼吸短促', '活动后气促', '气短']",16,K_SYMPTOM_DICT,matched,name,1.0,CE2D71CD-BFEE-4D72-B295-B1EDC95B8A6A,Z101989,气短
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:28956,Symptom,SYM-CARD-A99A5EBE8948,水肿,"['下肢水肿', '外周水肿', '踝部水肿', '液体潴留', '水肿']",415,K_SYMPTOM_DICT,matched,name,1.0,7F3506FF-2682-4048-AE7C-CE9EE45E8B10,Z102490,水肿
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25805,Symptom,SYM-CARD-FULLBOOK-1E40A7793E,水肿感,"['肿胀', '水肿感']",7,K_SYMPTOM_DICT,matched,alias,0.98,32A5AEF8-45BD-47C9-A8CD-F41D8CFAA62A,Z103712,肿胀
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:30710,Symptom,SYM-CARD-4D8C1CCBDCFF,活动耐量下降,"['运动耐量下降', '活动后不适', '活动耐量下降']",9,K_SYMPTOM_DICT,matched,alias,0.98,995ef0e2c9b14e082d7a06aba1390e6b,Z103194,运动耐量下降
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43152,Symptom,SYM-CARD-STEMI-F904A0F624EC,烦躁,['烦躁'],2,K_SYMPTOM_DICT,matched,name,1.0,JZ_SD000042,Z100666,烦躁
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:31907,Symptom,SYM-CARD-D439FFE86134,焦虑,"['紧张不安', '焦虑']",5,K_SYMPTOM_DICT,matched,name,1.0,9F7858C8-FD31-4D89-A800-723ABB92F106,Z101165,焦虑
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43604,Symptom,SYM-CARD-CADREM-ICM-B386C3AC80,疲乏,['疲乏'],16,K_SYMPTOM_DICT,matched,name,1.0,72CBD0B7-AAFF-44CD-9509-5752EFADBD2C,Z101839,疲乏
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25790,Symptom,SYM-CARD-F076662BF021,端坐呼吸,['端坐呼吸'],62,K_SYMPTOM_DICT,matched,name,1.0,JZ_SD000025,Z100448,端坐呼吸
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25802,Symptom,SYM-CARD-TEXT-730B452106,紫绀,"['青紫', '紫绀']",7,K_SYMPTOM_DICT,matched,name,1.0,059E180C-AE64-4F40-A1CD-F6F6EF6B1C68,Z103556,紫绀
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25783,Symptom,SYM-CARD-33F959FDD5F3,耐力下降,"['运动耐量下降', '活动耐量下降', '耐力下降']",26,K_SYMPTOM_DICT,matched,alias,0.98,995ef0e2c9b14e082d7a06aba1390e6b,Z103194,运动耐量下降
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25787,Symptom,SYM-CARD-B479F36AE54A,胸痛,"['心前区疼痛', '胸痛', '胸闷']",326,K_SYMPTOM_DICT,matched,name,1.0,1759FFFA-3F64-4BF6-9E55-FA015106D295,Z103045,胸痛
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43150,Symptom,SYM-CARD-STEMI-7BB41731BD9D,胸部不适,['胸部不适'],11,K_SYMPTOM_DICT,matched,name,1.0,841180ee3e3ec81272405f2aed56aabf,Z102861,胸部不适
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25781,Symptom,SYM-CARD-0039E284D715,胸闷,"['胸部不适', '胸闷']",152,K_SYMPTOM_DICT,matched,name,1.0,B8B6F57B-A695-48C2-A167-E702FFBD5BB4,Z102992,胸闷
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43012,Symptom,SYM-CARD-C0711BF37F3E,视物模糊,"['视力模糊', '视物模糊']",10,K_SYMPTOM_DICT,matched,name,1.0,5D01A19E-3787-464B-98EE-8D91074E7B97,Z102424,视物模糊
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25803,Symptom,SYM-CARD-FULLBOOK-811F8121C2,运动耐量下降,"['活动耐量下降', '运动耐量下降']",4,K_SYMPTOM_DICT,matched,name,1.0,995ef0e2c9b14e082d7a06aba1390e6b,Z103194,运动耐量下降
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:52703,Symptom,SYM-CARD-891716177DB2,间歇性跛行,"['跛行', 'claudication', '间歇性跛行']",18,K_SYMPTOM_DICT,matched,name,1.0,0E64D034-8B66-4F59-97C0-24AE1352AA6F,Z101326,间歇性跛行
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43011,Symptom,SYM-CARD-5CB2EF1DFC4F,鼻出血,"['鼻衄', '鼻出血']",12,K_SYMPTOM_DICT,matched,name,1.0,21ef67b7dc09f84eab3c0298be8496fe,Z100033,鼻出血
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25773,Sign,SIGN-CARD-TEXT-1A66DA4E90,Janeway损害,"['Janeway 点', 'Janeway损害']",3,K_CLINICAL_SIGN_DICT,matched,name,1.0,038084f1dc9e5d50978f7aeecb34b533,TZ100001,Janeway损害
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25772,Sign,SIGN-CARD-TEXT-D530F41B24,Osler结节,"['Osler 结节', 'Osler结节']",3,K_CLINICAL_SIGN_DICT,matched,name,1.0,41a2a499486350eea2f7ba792ebb2be8,TZ100002,Osler结节
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:37050,Sign,CARD-SKELETON-20260709-SIGN-F782DF6363BFAF44,下肢水肿,['下肢水肿'],12,K_CLINICAL_SIGN_DICT,matched,name,1.0,2b8485d1efdf5a59b2dae19aa3e4169f,TZ100003,下肢水肿
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25776,Sign,SIGN-CARD-FULLBOOK-FCCBB5937E,休克,"['休克表现', '休克']",35,K_CLINICAL_SIGN_DICT,matched,name,1.0,0c44b63afb9f53dda2db69c83ffa9cfb,TZ100004,休克
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25754,Sign,SIGN-CARD-1FA3A83EF714,低血压,"['休克', '低血压', '血压下降']",283,K_CLINICAL_SIGN_DICT,matched,name,1.0,137d857212775a458a09213d84d268d9,TZ100005,低血压
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:26269,Sign,SIGN-CARD-CM-ACM-CUTANEOUS-HAIR-PALMOPLANTAR,卷发和掌跖角化病,"['卷发', '掌跖角化', '卷发和掌跖角化病']",1,K_CLINICAL_SIGN_DICT,matched,name,1.0,39f61816305e559bba5e6c1ea13a4e4a,TZ100006,卷发和掌跖角化病
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25769,Sign,SIGN-CARD-TEXT-E67B99C5BD,发绀,"['发绀', '紫绀', '青紫']",96,K_CLINICAL_SIGN_DICT,matched,name,1.0,f90c337d023b58449692af8c38647544,TZ100007,发绀
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:34240,Sign,SIGN-CARD-F2FF82BA9235,呼吸停止,"['无自主呼吸', '呼吸停止']",20,K_CLINICAL_SIGN_DICT,matched,name,1.0,c0183ab0571b55dc8478500d09994c7f,TZ100008,呼吸停止
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:47008,Sign,SIGN-CARD-0A792D8C690D,啰音,['啰音'],40,K_CLINICAL_SIGN_DICT,matched,name,1.0,5487a3d48b51593c8d9670f7a2dcd0c7,TZ100009,啰音
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25778,Sign,SIGN-CARD-FULLBOOK-5BEADE5F52,奇脉,['奇脉'],3,K_CLINICAL_SIGN_DICT,matched,name,1.0,689e277c9957572aadd0f9d7bd3f13f9,TZ100010,奇脉
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25758,Sign,SIGN-CARD-75EFE91EFEED,奔马律,['奔马律'],75,K_CLINICAL_SIGN_DICT,matched,name,1.0,19697009a6705f39aa0e4e08f6122014,TZ100011,奔马律
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43148,Sign,SIGN-CARD-STEMI-647B9AEB46A4,尿量减少,['尿量减少'],2,K_CLINICAL_SIGN_DICT,matched,name,1.0,cec8de40b371594290636f2a40a71c9e,TZ100012,尿量减少
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:26273,Sign,SIGN-CARD-CM-FABRY-LVH-CONDUCTION,左心室肥厚伴传导异常,"['LVH伴传导异常', '左心室肥厚', '短PR间期', '房室传导异常', '左心室肥厚伴传导异常']",1,K_CLINICAL_SIGN_DICT,matched,name,1.0,ec187b6d1abb50a39fb0f3d35868f02a,TZ100013,左心室肥厚伴传导异常
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25775,Sign,SIGN-CARD-TEXT-C0F47862DF,心动过缓,"['心动过缓', '心率减慢', '心率缓慢', '心率过慢', '缓慢心率']",191,K_CLINICAL_SIGN_DICT,matched,name,1.0,2b368e56fa595d71b5dc39df2cf9ed18,TZ100014,心动过缓
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:35849,Sign,SIGN-CARD-028F5AE6B5B1,心动过缓或房室分离表现,"['心动过缓', '房室分离', 'PR间期', '长PP间期', '长间歇', '血流动力学', '心动过缓或房室分离表现']",2,K_CLINICAL_SIGN_DICT,matched,alias,0.98,2b368e56fa595d71b5dc39df2cf9ed18,TZ100014,心动过缓
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25765,Sign,SIGN-CARD-4E5DA62E1DA3,心动过速,"['心动过速', '心率增快', '心率快']",456,K_CLINICAL_SIGN_DICT,matched,name,1.0,5e33f0459bdc50698b8a63094f6922f3,TZ100015,心动过速
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43142,Sign,SIGN-CARD-STEMI-3463CB0BB7AC,心包摩擦音,['心包摩擦音'],2,K_CLINICAL_SIGN_DICT,matched,name,1.0,064a162904ee532fbbc3958ffa010eeb,TZ100016,心包摩擦音
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43143,Sign,SIGN-CARD-STEMI-C92F069131A2,心尖区收缩期杂音,['心尖区收缩期杂音'],2,K_CLINICAL_SIGN_DICT,matched,name,1.0,5cc62d42670e5995812c4d3d9344f8f1,TZ100017,心尖区收缩期杂音
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:31904,Sign,SIGN-CARD-895D6B9AB096,心律不规则,"['节律不齐', '心室率不规则', '心律不规则']",3,K_CLINICAL_SIGN_DICT,matched,name,1.0,107c41eb57fd5d35913018950c2205f6,TZ100018,心律不规则
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:30708,Sign,SIGN-CARD-CA138229E31E,心律绝对不齐,"['心律不齐', '节律绝对不齐', '心律绝对不齐']",4,K_CLINICAL_SIGN_DICT,matched,name,1.0,d598d62da9cf55bf8a41faf4676ce073,TZ100019,心律绝对不齐
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:31905,Sign,SIGN-CARD-AC7DF8616F34,心律规则,"['节律规则', '心律规则']",4,K_CLINICAL_SIGN_DICT,matched,name,1.0,e8582cfded9a5136bd305d8e6d154e62,TZ100020,心律规则
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:30705,Sign,SIGN-CARD-070194A8D61B,心率不规则,"['心室率不规则', '心率不规则']",1,K_CLINICAL_SIGN_DICT,matched,name,1.0,6435d1adbe9d5e868d1f49904980e83c,TZ100021,心率不规则
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:49895,Sign,SIGN-CARD-BRADY-HR-LOW,心率低于60次/分,"['心率低于60次/分', '低于60 次 / 分', '低于60 次/分', '心率过慢', '低于60 次\u2009/\u2009分']",1,K_CLINICAL_SIGN_DICT,matched,name,1.0,4cc24945dba05f3a8316fb8fb3494558,TZ100022,心率低于60次/分
4:96d33a16-3d9f-4d2c-809b-20d1b37db684:31903,Sign,SIGN-CARD-568A9B018A72,心率增快,"['心动过速', '心室率快', '心率增快']",277,K_CLINICAL_SIGN_DICT,matched,name,1.0,9d67cb3ce1de5e6e89e9c87b99a85b96,TZ100023,心率增快
