entity_type,dict_id,dict_code,dict_name,canonical_element_id,duplicate_element_ids,node_count
Symptom,1F14524B-38FC-4D43-822D-E398C503D6F2,Z101023,呼吸困难,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25795,['4:96d33a16-3d9f-4d2c-809b-20d1b37db684:26274'],2
Symptom,DA8A7722-2316-4993-AC00-8E8B7596E178,Z102959,心悸,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25789,"['4:96d33a16-3d9f-4d2c-809b-20d1b37db684:26275', '4:96d33a16-3d9f-4d2c-809b-20d1b37db684:26277']",3
Symptom,864ad085d558372ff340514a8433e31d,Z103231,晕厥,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25791,['4:96d33a16-3d9f-4d2c-809b-20d1b37db684:35850'],2
Symptom,995ef0e2c9b14e082d7a06aba1390e6b,Z103194,运动耐量下降,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25783,"['4:96d33a16-3d9f-4d2c-809b-20d1b37db684:30710', '4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25803']",3
Sign,2b368e56fa595d71b5dc39df2cf9ed18,TZ100014,心动过缓,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25775,['4:96d33a16-3d9f-4d2c-809b-20d1b37db684:35849'],2
ExamItem,63E984CA9F61484E93508A54434DB58B,E120636,冠脉CTA ,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25505,['4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25511'],2
ExamItem,1EA5A18220D34ECFB34B3600A6E539AA,E100178,冠状动脉造影,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25497,['4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43495'],2
ExamItem,82DECBB03242453EB5D39D0A66E98DA0,E120852,动态心电图,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25502,['4:96d33a16-3d9f-4d2c-809b-20d1b37db684:35813'],2
LabItem,E1CF03EC278D4053B11631CBC3130506,L101862,血糖,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:42840,['4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25601'],2
LabItem,173CE90984D14B85A5F20CEC0AFBCE45,L101748,血常规,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:46966,['4:96d33a16-3d9f-4d2c-809b-20d1b37db684:34348'],2
Medication,d637b8c83d1b1d20bfda75a74cc37e10,D115665,依度沙班,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25636,['4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25631'],2
