decision_scope,group_id,review_id,target_table,candidate_name,decision,selected_target_id,reviewer,review_time,note,execution_authorized
GROUP,GROUP-K_DRUG_DICT,,K_DRUG_DICT,药品标准字典（55条）,PENDING,,,,,0
GROUP,GROUP-K_EXAM_ITEM_DICT,,K_EXAM_ITEM_DICT,检查项目标准字典（34条）,PENDING,,,,,0
GROUP,GROUP-K_EXAM_OBSERVATION_DICT,,K_EXAM_OBSERVATION_DICT,检查发现标准字典（2条）,PENDING,,,,,0
GROUP,GROUP-K_LAB_ITEM_DICT,,K_LAB_ITEM_DICT,检验项目标准字典（9条）,PENDING,,,,,0
GROUP,GROUP-K_LAB_SUBITEM_DICT,,K_LAB_SUBITEM_DICT,检验细项标准字典（6条）,PENDING,,,,,0
GROUP,GROUP-K_SYMPTOM_DICT,,K_SYMPTOM_DICT,症状标准字典（8条）,PENDING,,,,,0
GROUP,GROUP-K_TREATMENT_DICT,,K_TREATMENT_DICT,治疗项目标准字典（7条）,PENDING,,,,,0
ITEM,,37863a71ef585db39e03e97d570b3205,K_SYMPTOM_DICT,发热,PENDING,,,,,0
ITEM,,faa43be397f15727b6ad62e91b910496,K_SYMPTOM_DICT,恶心呕吐,PENDING,,,,,0
ITEM,,960381a25d39530e99f934411e98ed66,K_SYMPTOM_DICT,意识障碍,PENDING,,,,,0
ITEM,,c140ab922fd55166a7d04807062360fc,K_DRUG_DICT,肝素,PENDING,,,,,0
