category,disease,disease_code,diagnostic_role,recommendation_count,direct_formal_recommendation_count,subtype_formal_recommendation_count,effective_formal_recommendation_count
主动脉和周围血管病,Stanford B型主动脉夹层,DIS-CARD-TBAD,independent_disease,0,0,0,0
主动脉和周围血管病,下肢动脉硬化闭塞症,DIS-CARD-PAD-LEAD,independent_disease,0,0,0,0
主动脉和周围血管病,主动脉夹层,DIS-CARD-AORTIC-DISSECTION,independent_disease,0,0,0,0
主动脉和周围血管病,主动脉瘤,DIS-CARD-AORTA-ANEURYSM,independent_disease,0,0,0,0
主动脉和周围血管病,外周动脉疾病,DIS-CARD-PAD,independent_disease,0,0,0,0
主动脉和周围血管病,急性主动脉综合征,DIS-CARD-AAS,independent_disease,0,0,0,0
主动脉和周围血管病,腹主动脉瘤,DIS-CARD-AAA,independent_disease,0,0,0,0
主动脉和周围血管病,静脉血栓症,DIS-CARD-VTE,independent_disease,0,0,0,0
先天性心血管病,三尖瓣下移畸形,DIS-CARD-CHD-EBSTEIN,independent_disease,0,0,0,0
先天性心血管病,主动脉瓣狭窄,DIS-CARD-VHD-AS,independent_disease,0,0,0,0
先天性心血管病,主动脉窦瘤,DIS-CARD-CHD-SOVA,independent_disease,0,0,0,0
先天性心血管病,二叶主动脉瓣,DIS-CARD-CHD-BAV,independent_disease,0,0,0,0
先天性心血管病,先天性主动脉缩窄,DIS-CARD-CHD-COA,independent_disease,0,0,0,0
先天性心血管病,先天性心脏病,DIS-CARD-CHD,independent_disease,0,0,0,0
先天性心血管病,冠状动脉瘘,DIS-CARD-CHD-CAF,independent_disease,0,0,0,0
先天性心血管病,动脉导管未闭,DIS-CARD-PDA,independent_disease,0,0,0,0
先天性心血管病,卵圆孔未闭,DIS-CARD-PFO,independent_disease,0,0,0,0
先天性心血管病,室间隔缺损,DIS-CARD-VSD,independent_disease,0,0,0,0
先天性心血管病,房间隔缺损,DIS-CARD-CHD-ASD,independent_disease,0,0,0,0
先天性心血管病,肺动脉瓣狭窄,DIS-CARD-VHD-PS,independent_disease,0,0,0,0
冠心病,ST段抬高型心肌梗死,DIS-CARD-CAD-STEMI,clinical_subtype,35,6,0,6
冠心病,不稳定型心绞痛,DIS-CARD-CAD-UA,independent_disease,11,3,0,3
冠心病,冠状动脉痉挛,DIS-CARD-CAD-SPASM,independent_disease,0,0,0,0
冠心病,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-CHD,independent_disease,0,0,0,0
冠心病,动脉粥样硬化,DIS-CARD-CAD-ATHEROSCLEROSIS,independent_disease,0,0,0,0
冠心病,心肌梗死后综合征,DIS-CARD-CAD-POST-MI-SYNDROME,independent_disease,0,0,0,0
冠心病,急性冠脉综合征,DIS-CARD-CAD-ACS,broad_diagnosis,12,4,0,4
冠心病,急性心肌梗死,DIS-CARD-CAD-AMI,broad_diagnosis,8,3,10,13
冠心病,慢性冠脉综合征,DIS-CARD-CAD-CCS,broad_diagnosis,10,4,6,10
冠心病,稳定型心绞痛,DIS-CARD-CAD-STABLE-ANGINA,independent_disease,9,2,0,2
冠心病,缺血性心肌病,DIS-CARD-CAD-ICM,clinical_subtype,11,4,0,4
冠心病,陈旧性心肌梗死,DIS-CARD-CAD-OLD-MI,independent_disease,6,2,0,2
冠心病,隐匿性冠心病,DIS-CARD-CAD-SILENT-ISCHEMIA,clinical_subtype,5,2,0,2
冠心病,非ST段抬高型心肌梗死,DIS-CARD-CAD-NSTEMI,clinical_subtype,13,4,0,4
心力衰竭,全心衰竭,DIS-CARD-HF-BIVENTRICULAR,clinical_subtype,4,3,0,3
心力衰竭,右心衰竭,DIS-CARD-HF-RIGHT,independent_disease,4,3,0,3
心力衰竭,射血分数保留的心力衰竭,DIS-CARD-HF-HFpEF,clinical_subtype,4,3,0,3
心力衰竭,射血分数轻度降低的心力衰竭,DIS-CARD-HF-HFmrEF,clinical_subtype,4,3,0,3
心力衰竭,射血分数降低的心力衰竭,DIS-CARD-HF-HFrEF,clinical_subtype,4,3,0,3
心力衰竭,左心衰竭,DIS-CARD-HF-LEFT,independent_disease,4,3,0,3
心力衰竭,心力衰竭,DIS-CARD-HF-GENERAL,broad_diagnosis,30,4,25,29
心力衰竭,心肌梗死后心力衰竭,DIS-CARD-HF-POST-MI,clinical_subtype,9,3,0,3
心力衰竭,急性心力衰竭,DIS-CARD-HF-AHF,clinical_subtype,5,4,0,4
心力衰竭,慢性心力衰竭,DIS-CARD-HF-CHF,clinical_subtype,4,3,0,3
心力衰竭,透析患者慢性心力衰竭,DIS-CARD-HF-DIALYSIS-CHF,clinical_subtype,4,3,0,3
心包疾病,心包炎,DIS-CARD-PERICARDITIS,broad_diagnosis,0,0,0,0
