优先级,建议疾病大类,建议解析对象,PDF相对路径,PDF文件名,大小MB,当前状态,建议动作,完整路径
P1,主动脉与外周动脉疾病,主动脉夹层、主动脉瘤、外周动脉疾病,PAD.pdf,PAD.pdf,5.04,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\PAD.pdf
P1,主动脉与外周动脉疾病,主动脉夹层、主动脉瘤、外周动脉疾病,夹层动脉瘤\EACTS-STS主动脉急慢性综合征诊疗指南（2024）.pdf,EACTS-STS主动脉急慢性综合征诊疗指南（2024）.pdf,11.36,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\夹层动脉瘤\EACTS-STS主动脉急慢性综合征诊疗指南（2024）.pdf
P1,主动脉与外周动脉疾病,主动脉夹层、主动脉瘤、外周动脉疾病,夹层动脉瘤\中国 Stanford B 型主动脉夹层诊断和治疗2022.pdf,中国 Stanford B 型主动脉夹层诊断和治疗2022.pdf,3.83,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\夹层动脉瘤\中国 Stanford B 型主动脉夹层诊断和治疗2022.pdf
P1,主动脉与外周动脉疾病,主动脉夹层、主动脉瘤、外周动脉疾病,夹层动脉瘤\中国 腹主动脉瘤诊断和治疗中国专家共识（2022版）.pdf,中国 腹主动脉瘤诊断和治疗中国专家共识（2022版）.pdf,3.54,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\夹层动脉瘤\中国 腹主动脉瘤诊断和治疗中国专家共识（2022版）.pdf
P1,心肌炎/心包炎/感染性心内膜炎,心肌炎、心包炎、感染性心内膜炎,Endocarditis  ESC  2023.pdf,Endocarditis  ESC  2023.pdf,4.11,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\Endocarditis  ESC  2023.pdf
P1,心肌炎/心包炎/感染性心内膜炎,心肌炎、心包炎、感染性心内膜炎,心肌炎\2024 中国成人暴发性心肌炎诊断和治疗指南.pdf,2024 中国成人暴发性心肌炎诊断和治疗指南.pdf,3.35,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌炎\2024 中国成人暴发性心肌炎诊断和治疗指南.pdf
P1,心肌炎/心包炎/感染性心内膜炎,心肌炎、心包炎、感染性心内膜炎,心肌炎\AHA Management of Acute Myocarditis and Chronic Inflammatory Cardiomyopathy.pdf,AHA Management of Acute Myocarditis and Chronic Inflammatory Cardiomyopathy.pdf,1.12,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌炎\AHA Management of Acute Myocarditis and Chronic Inflammatory Cardiomyopathy.pdf
P1,心肌炎/心包炎/感染性心内膜炎,心肌炎、心包炎、感染性心内膜炎,心肌炎\JCS 2023 Myocarditis.pdf,JCS 2023 Myocarditis.pdf,9.95,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌炎\JCS 2023 Myocarditis.pdf
P1,心肌炎/心包炎/感染性心内膜炎,心肌炎、心包炎、感染性心内膜炎,心肌炎\中国 成人暴发性心肌炎诊断和治疗指南2024.pdf,中国 成人暴发性心肌炎诊断和治疗指南2024.pdf,3.35,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌炎\中国 成人暴发性心肌炎诊断和治疗指南2024.pdf
P1,心肌炎/心包炎/感染性心内膜炎,心肌炎、心包炎、感染性心内膜炎,心肌炎\中国成人心肌炎临床诊断与治疗指南2024.pdf,中国成人心肌炎临床诊断与治疗指南2024.pdf,2.61,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌炎\中国成人心肌炎临床诊断与治疗指南2024.pdf
