问题类型,实体类型,期望字典表,图谱编码,图谱名称,当前状态,处理要求
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-86E5A960E1BF,P2Y12受体抑制剂,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-BETA-BLOCKER,β受体阻滞剂,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-DAE0F0B68F1D,他汀类药物,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-02BB82DF8F9A,低分子肝素,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-2CCCA76B39F5,低分子量肝素,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-PH-7C5AD3FC1357,依前列醇,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-STD-FE9616A928,依那普利,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-B98A2C3955DF,内皮素受体拮抗剂,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-DIURETIC,利尿剂,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-218CE42327F8,前列环素通路药物,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
