disease_code,disease_name,entity_type,node_code,node_name,dictionary_validation_status,source_table
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamItem,EXAM-CARD-A80B855C8C77,12导联心电图,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamItem,EXAM-CARD-AORTA-CTA-CDSS,主动脉CTA,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamItem,EXAM-CARD-STEMI-43AF84ECFEAC,单光子发射计算机断层显像,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamItem,EXAM-ECG,心电图,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamItem,EXAM-CMR,心脏磁共振,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamItem,EXAM-CARD-STEMI-71B00278E585,正电子发射断层显像,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamItem,EXAM-CARD-TEXT-BE9C2270C9,胸部X线检查,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamItem,EXAM-TTE,超声心动图,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamItem,EXAM-CARD-241B4B0218DF,运动负荷试验,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamObservation,IND-CARD-STEMI-D6A001366BC3,ST段持续抬高提示室壁瘤,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamObservation,IND-CARD-STEMI-17801B3D7472,V1至V5导联QS型提示前壁梗死,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamObservation,IND-CARD-STEMI-0A05978707AA,Ⅱ、Ⅲ、aVF导联ST段抬高提示下壁梗死,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamObservation,IND-CARD-AMI-LAB-4F371E5141D0,低密度脂蛋白胆固醇升高,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamObservation,IND-CARD-AMI-LAB-027A760481F7,嗜酸性粒细胞减少或消失,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamObservation,IND-EXAM-TTE-左室射血分数,左室射血分数,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamObservation,IND-EXAM-CARD-09DFFB573658-延迟钆增强,延迟钆增强,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamObservation,IND-CARD-LAB-FREE-FATTY-ACID-HIGH,游离脂肪酸升高,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamObservation,IND-CARD-AMI-LAB-0E23D936276F,肌红蛋白升高,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamObservation,IND-CARD-AMI-LAB-0FC93EB091FE,肌酸激酶同工酶升高,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamObservation,IND-CARD-LAB-RENAL-FUNCTION-ABNORMAL,肾功能异常,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamObservation,IND-CARD-LAB-LIPID-ABNORMAL,血脂异常,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,LabItem,LAB-CARD-CADCD76D40B9,心肌损伤标志物,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,LabSubitem,IND-CARD-AMI-LAB-A07CEA5883A7,中性粒细胞增多,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-CARD-86E5A960E1BF,P2Y12受体抑制剂,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-BETA-BLOCKER,β受体阻滞剂,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-CARD-DAE0F0B68F1D,他汀类药物,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-CARD-2CCCA76B39F5,低分子量肝素,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-CARD-STD-FE9616A928,依那普利,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-DIURETIC,利尿剂,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-CARD-STEMI-75149079D7F4,吗啡,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-CARD-STEMI-7DE6E08B5D55,哌替啶,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-CARD-STD-0401DB9741,地尔硫卓,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-CARD-STD-62498B0FBD,地高辛,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-CARD-TEXT-EE219280A7,抗凝药物,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-CARD-TEXT-4E798D0AB2,抗血小板药物,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-CARD-STD-6B98598B0E,普拉格雷,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-CARD-A49408D27901,普通肝素,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-CARD-STEMI-611F442336F1,洋地黄制剂,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-CARD-TEXT-D07193A49C,溶栓药物,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-CARD-STEMI-38F899E9910B,直接口服抗凝药,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-CARD-STD-DE220086E9,硝酸甘油,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-CARD-55157DA54154,硝酸酯类药物,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-CARD-STEMI-C6E5F2B51268,糖蛋白Ⅱb/Ⅲa受体拮抗剂,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-CARD-80FC8F8A3EB4,组织型纤溶酶原激活物,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-CARD-STD-C685CE7163,维拉帕米,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-CARD-STD-1691342E51,美托洛尔,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-CARD-7717331EF136,肝素,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-AMIODARONE,胺碘酮,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-CARD-92F68F550745,血管紧张素Ⅱ受体拮抗剂,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-CARD-E40082221530,血管紧张素转换酶抑制剂,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-CARD-TEXT-28E925C6DE,钙通道阻滞剂,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,MED-CARD-STD-5AB035E285,阿昔单抗,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Procedure,PROC-CARD-128A6330E583,临时心脏起搏术,,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Procedure,PROC-CARD-BDB19D2C7A36,冠状动脉旁路移植术,,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Procedure,PROC-CARD-36488EFD8194,同步直流电复律,,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Procedure,PROC-CARD-STEMI-A86CC0D820EB,紧急冠状动脉旁路移植术,,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Procedure,PROC-CARD-E9ADC25A25E3,经皮冠状动脉介入治疗,,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Procedure,PROC-CARD-STEMI-A2C28EFCE6FF,补救性PCI,,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Procedure,PROC-CARD-STEMI-D0E3A6D461BF,非同步直流电除颤,,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Sign,SIGN-CARD-1431D67A6000,肺水肿,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Sign,SIGN-CARD-8F15AA48D767,肺淤血,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Symptom,SYM-CARD-STEMI-4A580733386B,上腹胀痛,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Symptom,SYM-CARD-STEMI-9B7354934FF5,下颌颈背部放射痛,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Symptom,SYM-CARD-STEMI-436709160213,呃逆,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Symptom,SYM-CARD-80A8947D5A71,濒死感,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,TreatmentItem,PROC-CARD-DA0F467D4A30,溶栓治疗,knowledge_only,
DIS-CARD-CM-ATRIAL,心房心肌病,ExamItem,EXAM-ECG,心电图,knowledge_only,
DIS-CARD-CM-ATRIAL,心房心肌病,ExamItem,EXAM-CMR,心脏磁共振,knowledge_only,
DIS-CARD-CM-ATRIAL,心房心肌病,ExamItem,EXAM-TTE,超声心动图,knowledge_only,
DIS-CARD-CM-ATRIAL,心房心肌病,ExamObservation,IND-CARD-STEMI-D6A001366BC3,ST段持续抬高提示室壁瘤,knowledge_only,
DIS-CARD-CM-ATRIAL,心房心肌病,ExamObservation,IND-CARD-STEMI-17801B3D7472,V1至V5导联QS型提示前壁梗死,knowledge_only,
DIS-CARD-CM-ATRIAL,心房心肌病,ExamObservation,IND-CARD-STEMI-0A05978707AA,Ⅱ、Ⅲ、aVF导联ST段抬高提示下壁梗死,knowledge_only,
DIS-CARD-CM-ATRIAL,心房心肌病,ExamObservation,IND-EXAM-TTE-左室射血分数,左室射血分数,knowledge_only,
DIS-CARD-CM-ATRIAL,心房心肌病,ExamObservation,IND-EXAM-CARD-09DFFB573658-延迟钆增强,延迟钆增强,knowledge_only,
DIS-CARD-CM-ATRIAL,心房心肌病,Medication,MED-BETA-BLOCKER,β受体阻滞剂,knowledge_only,
DIS-CARD-CM-ATRIAL,心房心肌病,Medication,MED-CARD-2CCCA76B39F5,低分子量肝素,knowledge_only,
DIS-CARD-CM-ATRIAL,心房心肌病,Medication,MED-CARD-STD-0401DB9741,地尔硫卓,knowledge_only,
DIS-CARD-CM-ATRIAL,心房心肌病,Medication,MED-CARD-STD-62498B0FBD,地高辛,knowledge_only,
DIS-CARD-CM-ATRIAL,心房心肌病,Medication,MED-CARD-TEXT-EE219280A7,抗凝药物,knowledge_only,
DIS-CARD-CM-ATRIAL,心房心肌病,Medication,MED-CARD-0D88ECB6525C,普罗帕酮,knowledge_only,
DIS-CARD-CM-ATRIAL,心房心肌病,Medication,MED-CARD-A49408D27901,普通肝素,knowledge_only,
DIS-CARD-CM-ATRIAL,心房心肌病,Medication,MED-CARD-66202C12C872,氟卡尼,knowledge_only,
DIS-CARD-CM-ATRIAL,心房心肌病,Medication,MED-CARD-TEXT-93710567D3,洋地黄类药物,knowledge_only,
DIS-CARD-CM-ATRIAL,心房心肌病,Medication,MED-CARD-F50DC811465A,索他洛尔,knowledge_only,
DIS-CARD-CM-ATRIAL,心房心肌病,Medication,MED-CARD-STD-C685CE7163,维拉帕米,knowledge_only,
DIS-CARD-CM-ATRIAL,心房心肌病,Medication,MED-CARD-STD-1691342E51,美托洛尔,knowledge_only,
DIS-CARD-CM-ATRIAL,心房心肌病,Medication,MED-CARD-7717331EF136,肝素,knowledge_only,
DIS-CARD-CM-ATRIAL,心房心肌病,Medication,MED-AMIODARONE,胺碘酮,knowledge_only,
DIS-CARD-CM-ATRIAL,心房心肌病,Medication,MED-CARD-TEXT-28E925C6DE,钙通道阻滞剂,knowledge_only,
DIS-CARD-CM-ATRIAL,心房心肌病,Procedure,PROC-CARD-36488EFD8194,同步直流电复律,,
DIS-CARD-CM-ATRIAL,心房心肌病,Procedure,PROC-CARD-A89DB5C678D2,房颤导管消融,,
DIS-CARD-CM-ATRIAL,心房心肌病,Procedure,PROC-CARD-D9D7DDE63DCF,肺静脉隔离,,
DIS-CARD-CM-GENERAL,心肌病,ExamItem,CARD-SKELETON-20260709-EXAM-B66979D14041DD2B,X线,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,ExamItem,EXAM-GENETIC,基因检测,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,ExamItem,EXAM-ECG,心电图,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,ExamItem,EXAM-CARD-TEXT-8AF3973EB6,心脏导管检查,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,ExamItem,EXAM-CARD-85148D8A75A3,心脏电生理检查,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,ExamItem,EXAM-CMR,心脏磁共振,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,ExamItem,EXAM-CARD-TEXT-8633D5B324,磁共振成像,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,ExamItem,EXAM-CARD-TEXT-BE9C2270C9,胸部X线检查,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,ExamItem,EXAM-CARD-FULLBOOK-27900FDADC,血管超声,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,ExamItem,CARD-SKELETON-20260709-EXAM-4974BA875B54084B,计算机断层扫描,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,ExamItem,EXAM-TTE,超声心动图,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,ExamItem,EXAM-CARD-241B4B0218DF,运动负荷试验,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,ExamObservation,IND-EXAM-TTE-左室射血分数,左室射血分数,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,ExamObservation,IND-EXAM-CARD-09DFFB573658-延迟钆增强,延迟钆增强,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,LabItem,EXAM-CARD-01C3182D129E,利钠肽,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,LabItem,LAB-CARD-CADCD76D40B9,心肌损伤标志物,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,LabItem,LAB-CARDIAC-BIOMARKERS,心脏生物标志物检测,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,LabSubitem,LABIND-EXAM-CARD-01C3182D129E-BNP,B型利钠肽,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,LabSubitem,IND-NT-PROBNP,N末端B型利钠肽原,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,Medication,CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,Medication,MED-BETA-BLOCKER,β受体阻滞剂,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,Medication,MED-DIURETIC,利尿剂,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,Medication,MED-CARD-STD-0401DB9741,地尔硫卓,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,Medication,MED-CARD-TEXT-EE219280A7,抗凝药物,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,Medication,MED-CARD-0D88ECB6525C,普罗帕酮,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,Medication,MED-CARD-66202C12C872,氟卡尼,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,Medication,MED-CARD-TEXT-93710567D3,洋地黄类药物,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,Medication,MED-CARD-55157DA54154,硝酸酯类药物,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,Medication,MED-CARD-F50DC811465A,索他洛尔,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,Medication,MED-CARD-STD-C685CE7163,维拉帕米,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,Medication,MED-CARD-STD-1691342E51,美托洛尔,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,Medication,MED-AMIODARONE,胺碘酮,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,Medication,CARD-SKELETON-20260709-MEDICATION-09DFB5E0DF9F68B9,血管紧张素II受体拮抗剂,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,Medication,MED-CARD-92F68F550745,血管紧张素Ⅱ受体拮抗剂,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,Medication,MED-CARD-C015B7A5655A,血管紧张素Ⅱ受体阻滞剂,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,Medication,MED-CARD-5C774D10CF46,血管紧张素受体脑啡肽酶抑制剂,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,Medication,MED-CARD-E40082221530,血管紧张素转换酶抑制剂,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,Medication,CARD-SKELETON-20260709-MEDICATION-7887433A96437926,血管紧张素转换酶抑制剂或血管紧张素受体阻滞剂,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,Medication,MED-CARD-TEXT-4E1713BBBA,醛固酮受体拮抗剂,knowledge_only,
DIS-CARD-CM-GENERAL,心肌病,Medication,MED-CARD-TEXT-28E925C6DE,钙通道阻滞剂,knowledge_only,
