node_code,node_name,entity_type,source_table,term,candidate_id,candidate_code,candidate_name
EXAM-GENETIC,基因检测,ExamItem,K_EXAM_ITEM_DICT,基因检测,18FB395998C94FCE8AA4BB433C487827,E121042,血友病A基因检测
EXAM-GENETIC,基因检测,ExamItem,K_EXAM_ITEM_DICT,基因检测,092de5d83dbb4545b65768983f3be4ab,E491_112138,大肠癌KNB三基因检测
EXAM-GENETIC,基因检测,ExamItem,K_EXAM_ITEM_DICT,基因检测,769586c30c824af39eaa4b32fd94e8cc,E491_112156,肺癌10基因检测
EXAM-GENETIC,基因检测,ExamItem,K_EXAM_ITEM_DICT,基因检测,984316be1b0c4b70adbbd252491e8c21,E491_112157,肺癌EAR三基因检测
EXAM-ECG,心电图,ExamItem,K_EXAM_ITEM_DICT,心电图,5f842e3ace91cae382aa32d908b46419,E105269,急诊常规心电图+18导联+事件记录
EXAM-ECG,心电图,ExamItem,K_EXAM_ITEM_DICT,心电图,9dec2b8b972b9a7ba9083acf85a2da62,E105322,食道心电图
EXAM-ECG,心电图,ExamItem,K_EXAM_ITEM_DICT,心电图,90d14d3429b4020927fd8f36f7a0347b,E105339,急诊床边心电图+18导联+事件记录
EXAM-ECG,心电图,ExamItem,K_EXAM_ITEM_DICT,心电图,e87ac2a95356eb8ea516c2b1a6ba438c,E105341,心电图踏车负荷+动态血压+事件记录
EXAM-ECG,心电图,ExamItem,K_EXAM_ITEM_DICT,心电图,1D8F85B5B2FE4427990F0AFAF7C65AE6,E100990,动态心电图（Holter监测）
EXAM-ECG,心电图,ExamItem,K_EXAM_ITEM_DICT,心电图,2ed72311ad0a964f6f0a10b6b1b41d2d,E105256,动态心电图+心率变异性分析+心电事件记录
EXAM-ECG,心电图,ExamItem,K_EXAM_ITEM_DICT,心电图,82DECBB03242453EB5D39D0A66E98DA0,E120852,动态心电图
EXAM-ECG,心电图,ExamItem,K_EXAM_ITEM_DICT,心电图,00BFDFE413B145AA94AEA6A9CA985EDF,E120853,动态心电图分析(24小时)
EXAM-ECG,心电图,ExamItem,K_EXAM_ITEM_DICT,心电图,B97DAD2F3A864F41BC51F60F1B432A52,E120143,平板心电图
EXAM-ECG,心电图,ExamItem,K_EXAM_ITEM_DICT,心电图,5B96A62D9BC144A8BA8D55012CA87117,E120895,食管内心电图
EXAM-ECG,心电图,ExamItem,K_EXAM_ITEM_DICT,心电图,ff3f806aafae4c7796450e18af7918fb,E491_112140,常规心电图检查(十五导联)
EXAM-ECG,心电图,ExamItem,K_EXAM_ITEM_DICT,心电图,F64EC3D11C714F29BE0D041E23D5600F,E100992,常规心电图检查
EXAM-ECG,心电图,ExamItem,K_EXAM_ITEM_DICT,心电图,e3cfbdc9600645878700d231913d5cf5,E111471,窦性停搏的心电图特征
EXAM-ECG,心电图,ExamItem,K_EXAM_ITEM_DICT,心电图,1b6f760defc048f589556ff99ac19b2d,E111472,窦性心动过缓的心电图特征
EXAM-ECG,心电图,ExamItem,K_EXAM_ITEM_DICT,心电图,1cd479d22bdc4f598a3bd2ab58a0a8f9,E111473,窦性心动过速的心电图特征
EXAM-ECG,心电图,ExamItem,K_EXAM_ITEM_DICT,心电图,e1c657b5f55d45e2a835b64a03e5e5c3,E111474,窦性心律不齐的心电图特征
EXAM-ECG,心电图,ExamItem,K_EXAM_ITEM_DICT,心电图,7d86a599c76b44eebce2942f672b5af0,E111475,窦性期前收缩的心电图特征
EXAM-ECG,心电图,ExamItem,K_EXAM_ITEM_DICT,心电图,415999c032e949b399d94d37b4606d89,E111476,窦房传导阻滞的心电图特征
EXAM-ECG,心电图,ExamItem,K_EXAM_ITEM_DICT,心电图,0da970fc1bbc4605a47b777ff145be53,E111477,窦房折返性心动过速的心电图特征
EXAM-ECG,心电图,ExamItem,K_EXAM_ITEM_DICT,心电图,6d044b878eb4415e9f3a823c90501ac5,E111478,窦房结内游走性心律的心电图特征
EXAM-ECG,心电图,ExamItem,K_EXAM_ITEM_DICT,常规心电图,cf6cefd820573559d936314916be4aa9,E105198,急诊常规心电图+事件记录
EXAM-CMR,心脏磁共振,ExamItem,K_EXAM_ITEM_DICT,心脏磁共振,17e799f60d544f4c834a5c503a2f7d6a,E491_111876,心脏磁共振平扫
EXAM-CMR,心脏磁共振,ExamItem,K_EXAM_ITEM_DICT,心脏磁共振,dffddc6e8a5f401c97122d67532fb1a9,E491_111875,心脏磁共振增强扫描
EXAM-TTE,超声心动图,ExamItem,K_EXAM_ITEM_DICT,超声心动图,192FDB7475474C86A74EA6F2EEC288A9,E100025,M型超声心动图（ME）
EXAM-TTE,超声心动图,ExamItem,K_EXAM_ITEM_DICT,超声心动图,6888E0C1CA1143A3BEDAE76F9A7F4C49,E100019,经食管超声心动图(TEE)
EXAM-TTE,超声心动图,ExamItem,K_EXAM_ITEM_DICT,超声心动图,CDD05E9D9DD54FF084323A7C87EBD684,E100013,二维超声心动图
