疾病大类,资料名称,权威等级,关键词,定位,短证据片段,文件路径
冠心病/AMI,《内科学（第10版）》,B,急性 ST 段抬高型心肌梗死,段落5198,二、急性 ST 段抬高型心肌梗死,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\书籍教材\《内科学（第10版）》.docx
冠心病/AMI,《内科学（第10版）》,B,再灌注,段落4266,…，这种电位振荡达到阈电位后即可引起一次新的除极和兴奋反应，形成触发活动，持续的反复激动即构成快速型心律失常，可见于儿茶酚胺浓度增高、心肌缺血再灌注、低血钾、高血钙及洋地黄中毒时。后除极包括早期后除极和晚期 / 延迟后除极，前者发生于动作,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\书籍教材\《内科学（第10版）》.docx
冠心病/AMI,《内科学（第10版）》,B,ST 段抬高,段落4947,…血管痉挛或微血管疾病的心绞痛病人；筛查时发现的无症状 CAD 病人。ACS 包括不稳定型心绞痛（unstable angina，UA）、非 ST 段抬高型心肌梗死（non-ST-segment elevation myocardial infarction，NSTEMI）、ST 段抬高型心肌…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\书籍教材\《内科学（第10版）》.docx
冠心病/AMI,《内科学（第10版）》,B,Killip,段落5239,根据有无心力衰竭表现及其相应血流动力学改变的严重程度，AMI 引起的心力衰竭按 Killip 分级法可分为：,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\书籍教材\《内科学（第10版）》.docx
冠心病/AMI,《内科学（第10版）》,B,溶栓,段落655,（5）抗凝或溶栓治疗：详见肺栓塞章节。,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\书籍教材\《内科学（第10版）》.docx
冠心病/AMI,《内科学（第10版）》,B,经皮冠状动脉介入术,段落3867,1. 经皮冠状动脉介入术（percutaneous coronary intervention，PCI） 治疗冠心病的一种最常用、最成熟的介入技术，它是在血管造影仪…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\书籍教材\《内科学（第10版）》.docx
冠心病/AMI,ACC/AHA/ACEP/NAEMSP/SCAI 指南：急性冠脉综合征患者的管理 2025,A1,acute coronary,第1页,…CC/AHA/ACEP/NAEMSP/SCAI Guideline for the management of patients with acute coronary syndromes: a report of the American College of Cardiology/American He…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\冠脉介入\ACC／AHA／ACEP／NAEMSP ／SCAI指 南：急性冠脉 综合征患者的管理 2025.pdf
冠心病/AMI,ACC/AHA/ACEP/NAEMSP/SCAI 指南：急性冠脉综合征患者的管理 2025,A1,STEMI,第2页,…........... e7 82 3.1.3. Risk Stratification T ools for Patients With STEMI and NSTE-ACS .................... e7 85 3.2. Management of P atients …,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\冠脉介入\ACC／AHA／ACEP／NAEMSP ／SCAI指 南：急性冠脉 综合征患者的管理 2025.pdf
冠心病/AMI,ACC/AHA/ACEP/NAEMSP/SCAI 指南：急性冠脉综合征患者的管理 2025,A1,NSTEMI,第5页,…phine; myocardial infarction; non–ST-elevation myocardial infarction (NSTEMI); percutaneous coronary inter- vention (PCI); prehospital; revascular…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\冠脉介入\ACC／AHA／ACEP／NAEMSP ／SCAI指 南：急性冠脉 综合征患者的管理 2025.pdf
冠心病/AMI,ACC/AHA/ACEP/NAEMSP/SCAI 指南：急性冠脉综合征患者的管理 2025,A1,reperfusion,第2页,…e System Inhibitors ..................... e8 00 5. S TEMI Management: Reperfusion Strategies .................................. e8 01 5.1. Regional Sys…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\冠脉介入\ACC／AHA／ACEP／NAEMSP ／SCAI指 南：急性冠脉 综合征患者的管理 2025.pdf
