疾病大类,疾病编码,疾病名称,诊断角色,父级疾病,下级分型数,标准诊断状态,标准诊断说明,定义,症状,体征,危险因素,并发症,检查项目,检验项目,检查发现,检验细项,诊断标准,诊断明细,鉴别诊断,鉴别规则,风险分层,治疗方案,药物动作,手术/操作动作,其他治疗动作,随访,预后,预防,证据,指南,正式推荐,硬缺口,提醒
主动脉和周围血管病,DIS-CARD-TBAD,Stanford B型主动脉夹层,independent_disease,,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,3,0,3,3,0,0,4,1,1,7,2,14,1,1,0,1,2,1,1,0,41,2,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
主动脉和周围血管病,DIS-CARD-PAD-LEAD,下肢动脉硬化闭塞症,independent_disease,,0,通过,存在精确标准诊断：下肢动脉硬化闭塞症(STDDX-0b225b9e20c9345385d5ba32ce393a85),1,1,4,6,4,0,0,9,0,0,0,0,0,0,1,5,1,0,6,6,6,17,0,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
主动脉和周围血管病,DIS-CARD-AORTIC-DISSECTION,主动脉夹层,independent_disease,,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,16,12,10,9,0,0,48,3,1,24,3,18,1,1,10,2,0,1,1,0,369,6,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
主动脉和周围血管病,DIS-CARD-AORTA-ANEURYSM,主动脉瘤,independent_disease,,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,0,3,5,2,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
主动脉和周围血管病,DIS-CARD-PAD,外周动脉疾病,independent_disease,,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,1,3,2,4,0,0,4,0,1,4,2,14,1,1,1,0,0,1,1,0,219,7,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
主动脉和周围血管病,DIS-CARD-AAS,急性主动脉综合征,independent_disease,,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,3,2,0,1,0,0,27,0,1,7,0,0,1,0,0,0,0,1,1,0,37,2,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
主动脉和周围血管病,DIS-CARD-AAA,腹主动脉瘤,independent_disease,,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,1,4,1,2,0,0,17,0,1,9,0,0,1,1,1,0,0,1,1,0,152,7,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
主动脉和周围血管病,DIS-CARD-VTE,静脉血栓症,independent_disease,,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,19,13,12,6,0,0,48,8,0,0,0,0,0,4,14,1,1,0,0,0,101,0,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
先天性心血管病,DIS-CARD-CHD-EBSTEIN,三尖瓣下移畸形,independent_disease,,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,2,3,2,3,0,0,39,0,0,0,0,0,0,1,0,1,0,0,0,0,19,0,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
先天性心血管病,DIS-CARD-VHD-AS,主动脉瓣狭窄,independent_disease,,0,通过,存在精确标准诊断：主动脉瓣狭窄(STDDX-dda08ebdae467c918775006c05150d8b),1,17,9,12,9,0,0,52,9,1,1,2,14,1,2,4,6,1,9,9,8,831,9,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
先天性心血管病,DIS-CARD-CHD-SOVA,主动脉窦瘤,independent_disease,,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,0,0,2,6,0,0,44,0,0,0,0,0,0,1,0,1,0,0,0,0,38,0,0,,分型缺临床表现；分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
