disease_code,disease_name,entity_type,node_code,node_name,dictionary_validation_status,source_table
DIS-CARD-ARR-BRUGADA,Brugada综合征,ExamItem,EXAM-GENETIC,基因检测,knowledge_only,
DIS-CARD-ARR-BRUGADA,Brugada综合征,ExamItem,EXAM-ECG,心电图,knowledge_only,
DIS-CARD-ARR-BRUGADA,Brugada综合征,ExamItem,EXAM-CARD-85148D8A75A3,心脏电生理检查,pending_dictionary_registration,K_EXAM_ITEM_DICT
DIS-CARD-ARR-BRUGADA,Brugada综合征,ExamItem,EXAM-CMR,心脏磁共振,knowledge_only,
DIS-CARD-ARR-BRUGADA,Brugada综合征,ExamItem,EXAM-TTE,超声心动图,knowledge_only,
DIS-CARD-ARR-BRUGADA,Brugada综合征,ExamObservation,IND-CARD-STEMI-D6A001366BC3,ST段持续抬高提示室壁瘤,knowledge_only,
DIS-CARD-ARR-BRUGADA,Brugada综合征,ExamObservation,IND-CARD-STEMI-17801B3D7472,V1至V5导联QS型提示前壁梗死,knowledge_only,
DIS-CARD-ARR-BRUGADA,Brugada综合征,ExamObservation,IND-CARD-STEMI-0A05978707AA,Ⅱ、Ⅲ、aVF导联ST段抬高提示下壁梗死,knowledge_only,
DIS-CARD-ARR-BRUGADA,Brugada综合征,ExamObservation,IND-EXAM-GENETIC-家族遗传证据,家族遗传证据,knowledge_only,
DIS-CARD-ARR-BRUGADA,Brugada综合征,ExamObservation,IND-EXAM-TTE-左室射血分数,左室射血分数,knowledge_only,
DIS-CARD-ARR-BRUGADA,Brugada综合征,ExamObservation,IND-EXAM-CARD-09DFFB573658-延迟钆增强,延迟钆增强,knowledge_only,
DIS-CARD-ARR-BRUGADA,Brugada综合征,Medication,MED-BETA-BLOCKER,β受体阻滞剂,knowledge_only,
DIS-CARD-ARR-BRUGADA,Brugada综合征,Medication,MED-CARD-STD-62498B0FBD,地高辛,knowledge_only,
DIS-CARD-ARR-BRUGADA,Brugada综合征,Medication,MED-CARD-73E3BE4E64BB,抗心律失常药物,knowledge_only,
DIS-CARD-ARR-BRUGADA,Brugada综合征,Medication,MED-CARD-0D88ECB6525C,普罗帕酮,candidate_conflict,K_DRUG_DICT
DIS-CARD-ARR-BRUGADA,Brugada综合征,Medication,MED-CARD-STD-9146894909,普萘洛尔,candidate_conflict,K_DRUG_DICT
DIS-CARD-ARR-BRUGADA,Brugada综合征,Medication,MED-CARD-TEXT-93710567D3,洋地黄类药物,knowledge_only,
DIS-CARD-ARR-BRUGADA,Brugada综合征,Medication,MED-CARD-F50DC811465A,索他洛尔,candidate_conflict,K_DRUG_DICT
DIS-CARD-ARR-BRUGADA,Brugada综合征,Medication,MED-CARD-STD-1691342E51,美托洛尔,knowledge_only,
DIS-CARD-ARR-BRUGADA,Brugada综合征,Medication,MED-AMIODARONE,胺碘酮,knowledge_only,
DIS-CARD-ARR-BRUGADA,Brugada综合征,Procedure,PROC-CARD-36488EFD8194,同步直流电复律,pending_dictionary_registration,K_OPERATION_HANDLE_DICT
DIS-CARD-ARR-BRUGADA,Brugada综合征,Procedure,PROC-ICD,植入式心律转复除颤器置入术,pending_dictionary_registration,K_OPERATION_HANDLE_DICT
DIS-CARD-ARR-BRUGADA,Brugada综合征,Procedure,PROC-CARD-6CC6BC610CAE,电除颤,,
DIS-CARD-ARR-BRUGADA,Brugada综合征,Procedure,PROC-CARD-4777F9B8D8F3,经导管心脏射频消融术,,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamItem,EXAM-CARD-A80B855C8C77,12导联心电图,pending_dictionary_registration,K_EXAM_ITEM_DICT
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamItem,EXAM-CARD-FULLBOOK-80909CCD5C,CT肺动脉造影,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamItem,EXAM-CARD-AORTA-CTA-CDSS,主动脉CTA,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamItem,EXAM-CARD-STEMI-43AF84ECFEAC,单光子发射计算机断层显像,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamItem,EXAM-ECG,心电图,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamItem,EXAM-CMR,心脏磁共振,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamItem,EXAM-CARD-STEMI-71B00278E585,正电子发射断层显像,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamItem,EXAM-CARD-FULLBOOK-FED1A8ECF0,肺通气/灌注显像,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamItem,EXAM-CARD-7611BF5653DB,肾上腺CT,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamItem,EXAM-CARD-TEXT-BE9C2270C9,胸部X线检查,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamItem,EXAM-TTE,超声心动图,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamObservation,IND-CARD-STEMI-D6A001366BC3,ST段持续抬高提示室壁瘤,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamObservation,IND-CARD-STEMI-17801B3D7472,V1至V5导联QS型提示前壁梗死,knowledge_only,
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamObservation,IND-CARD-STEMI-0A05978707AA,Ⅱ、Ⅲ、aVF导联ST段抬高提示下壁梗死,knowledge_only,
