疾病大类,纳入疾病数,正式推荐数,平均知识维度命中数,正式CDSS候选疾病数,仅知识展示疾病数,需治理疾病数,标准诊断阻断数,标准字典缺口行数,当前判断,优先处理建议
冠心病,14,34,8.07,8,3,3,1,4,需收口治理,优先补标准字典/推荐动作链
心肌病,14,26,8.64,6,2,6,0,7,需收口治理,优先补标准字典/推荐动作链
心力衰竭,11,31,7.36,2,4,5,5,10,需收口治理,优先补标准字典/推荐动作链
心律失常,31,86,8.13,19,1,11,8,43,需收口治理,优先补标准字典/推荐动作链
高血压,18,31,7.33,6,4,8,8,0,需收口治理,优先补标准字典/推荐动作链
肺动脉高压,7,0,8.43,0,4,3,3,0,需收口治理,优先补标准字典/推荐动作链
主动脉和周围血管病,8,0,7.0,0,1,7,7,0,需收口治理,优先补标准字典/推荐动作链
先天性心血管病,12,0,7.33,0,5,7,6,0,需收口治理,优先补标准字典/推荐动作链
心包疾病,4,0,6.75,0,3,1,1,0,需收口治理,优先补标准字典/推荐动作链
心脏瓣膜病,7,0,8.71,0,3,4,2,0,需收口治理,优先补标准字典/推荐动作链
感染性心内膜炎,2,0,7.5,0,2,0,0,0,知识可用，推荐链路需补强,进入常规增量维护
血脂异常与动脉粥样硬化防治,3,0,9.0,0,3,0,0,0,知识可用，推荐链路需补强,进入常规增量维护
