序号,疾病大类,疾病编码,疾病名称,诊断角色,标准诊断编码,CDSS字典ID,标准身份状态,证据数,指南节点数,正式推荐数,正式推荐主来源数,教材来源名称,指南/PDF来源名称,页码/位置,缺口原因
1,主动脉和周围血管病,DIS-CARD-TBAD,Stanford B型主动脉夹层,independent_disease,,,,41,2,0,0,,,,正式推荐为0
2,主动脉和周围血管病,DIS-CARD-PAD-LEAD,下肢动脉硬化闭塞症,independent_disease,,,,17,0,0,0,,,,指南来源为0；正式推荐为0
3,主动脉和周围血管病,DIS-CARD-AORTIC-DISSECTION,主动脉夹层,independent_disease,,,,369,6,0,0,,,,正式推荐为0
4,主动脉和周围血管病,DIS-CARD-AORTA-ANEURYSM,主动脉瘤,independent_disease,,,,32,0,0,0,,,,指南来源为0；正式推荐为0
5,主动脉和周围血管病,DIS-CARD-PAD,外周动脉疾病,independent_disease,,,,219,7,0,0,,,,正式推荐为0
6,主动脉和周围血管病,DIS-CARD-AAS,急性主动脉综合征,independent_disease,,,,37,2,0,0,,,,正式推荐为0
7,主动脉和周围血管病,DIS-CARD-AAA,腹主动脉瘤,independent_disease,,,,152,7,0,0,,,,正式推荐为0
8,主动脉和周围血管病,DIS-CARD-VTE,静脉血栓症,independent_disease,,,,101,0,0,0,,,,指南来源为0；正式推荐为0
9,先天性心血管病,DIS-CARD-CHD-EBSTEIN,三尖瓣下移畸形,independent_disease,,,,19,0,0,0,,,,指南来源为0；正式推荐为0
10,心脏瓣膜病,DIS-CARD-VHD-AS,主动脉瓣狭窄,independent_disease,,,,831,9,0,0,,,,正式推荐为0
11,先天性心血管病,DIS-CARD-CHD-SOVA,主动脉窦瘤,independent_disease,,,,38,0,0,0,,,,指南来源为0；正式推荐为0
12,先天性心血管病,DIS-CARD-CHD-BAV,二叶主动脉瓣,independent_disease,,,,25,0,0,0,,,,指南来源为0；正式推荐为0
13,先天性心血管病,DIS-CARD-CHD-COA,先天性主动脉缩窄,independent_disease,,,,12,0,0,0,,,,指南来源为0；正式推荐为0
14,先天性心血管病,DIS-CARD-CHD,先天性心脏病,independent_disease,,,,117,9,0,0,,,,正式推荐为0
15,先天性心血管病,DIS-CARD-CHD-CAF,冠状动脉瘘,independent_disease,,,,21,0,0,0,,,,指南来源为0；正式推荐为0
16,先天性心血管病,DIS-CARD-PDA,动脉导管未闭,independent_disease,,,,129,5,0,0,,,,正式推荐为0
17,先天性心血管病,DIS-CARD-PFO,卵圆孔未闭,independent_disease,,,,211,9,0,0,,,,正式推荐为0
18,先天性心血管病,DIS-CARD-VSD,室间隔缺损,independent_disease,,,,174,5,0,0,,,,正式推荐为0
19,先天性心血管病,DIS-CARD-CHD-ASD,房间隔缺损,independent_disease,,,,150,8,0,0,,,,正式推荐为0
