疾病大类,疾病编码,疾病名称,来源名称,来源类型,页码/位置
冠心病,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,STEMI CN 2019.pdf,指南/文献,3；2；4；5；14
冠心病,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,2018 STEMI院前溶栓治疗中国专家共识.pdf,指南/文献,3；2；4；5；14
冠心病,DIS-CARD-CAD-UA,不稳定型心绞痛,NSTE-ACS CN 2024.pdf,指南/文献,3；15；8
冠心病,DIS-CARD-CAD-ACS,急性冠脉综合征,经皮冠状动脉介入治疗指南（2025）.pdf,指南/文献,4；8；15
冠心病,DIS-CARD-CAD-ACS,急性冠脉综合征,NSTE-ACS CN 2024.pdf,指南/文献,4；8；15
冠心病,DIS-CARD-CAD-AMI,急性心肌梗死,4TH universal definition of MI.pdf,指南/文献,9；4；2
冠心病,DIS-CARD-CAD-AMI,急性心肌梗死,STEMI CN 2019.pdf,指南/文献,9；4；2
冠心病,DIS-CARD-CAD-AMI,急性心肌梗死,冠心病双联抗血小板治疗中国专家共识.pdf,指南/文献,9；4；2
冠心病,DIS-CARD-CAD-CCS,慢性冠脉综合征,稳定性冠心病诊断与治疗指南 2018.pdf,指南/文献,2；6；8；13
冠心病,DIS-CARD-CAD-CCS,慢性冠脉综合征,CCS CN 2024.pdf,指南/文献,2；6；8；13
冠心病,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,稳定性冠心病诊断与治疗指南 2018.pdf,指南/文献,5；6
冠心病,DIS-CARD-CAD-ICM,缺血性心肌病,存活心肌无创影像学评价专家共识.pdf,指南/文献,8；9
冠心病,DIS-CARD-CAD-ICM,缺血性心肌病,缺血性心肌病血运重建专家共识.pdf,指南/文献,8；9
冠心病,DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死,【医脉通】2020心肌梗死后心力衰竭防治专家共识.pdf,指南/文献,9；7
冠心病,DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死,冠状动脉粥样硬化性心脏病患者药物治疗管理路径专家共识_周洋.pdf,指南/文献,9；7
冠心病,DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,稳定性冠心病诊断与治疗指南 2018.pdf,指南/文献,2；6
