direction,duplicate_code,keep_code,props,relation_type,source_code
incoming,EVD-CARD-FULLBOOK-ABCE1273D5DA9B,EVD-CARD-FULLBOOK-3148AB1C428DE8,"{""relationType"": ""supported_by_evidence"", ""disease_code"": ""DIS-CARD-ARR-AF"", ""evidence_count"": 1, ""document_ids"": [""DOC-CF62B75AEC93F1A6""], ""target_code"": ""EVD-CARD-FULLBOOK-ABCE1273D5DA9B"", ""batch_id"": ""FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001"", ""source_names"": [""《内科学（第10版）》docx""], ""scope_filter_rule"": ""CDSS查询证据时必须按当前疾病或大类过滤 disease_code"", ""scope_filter_required"": true, ""clinical_review_status"": ""not_applicable"", ""evidence_scope_code"": ""DIS-CARD-ARR-AF"", ""schema_version"": ""V1.4"", ""updated_at"": ""2026-07-14 20:38:36"", ""scope_governance_batch"": ""20260714_证据范围字段回填"", ""source_types"": [""authoritative_textbook""], ""updated_by"": ""codex"", ""formal_cdss_ready"": false, ""id"": ""REL-D15DA9BA7643"", ""evidence_ids"": [""EVD-CARD-FULLBOOK-ABCE1273D5DA9B""], ""review_status"": ""approved"", ""provenance_records_json"": ""[{\""document_id\"":\""DOC-CF62B75AEC93F1A6\"",\""segment_id\"":\""LINE-7529\"",\""source_name\"":\""《内科学（第10版）》docx\"",\""source_type\"":\""authoritative_textbook\"",\""source_version\"":\""第10版\"",\""source_section\"":\""全书跨章节回捞\"",\""source_page\"":\""N/A\"",\""line_start\"":7529,\""line_end\"":7529,\""evidence_text\"":\""（2）心力衰竭：心力衰竭往往在缺血性心肌病发展到一定阶段出现。有些在胸痛发作或心肌梗死早期即有心衰表现，另一些则在较晚期才出现。这是由于急性或慢性心肌缺血坏死引起心肌舒张和收缩功能障碍所致。常表现为劳力性呼吸困难，严重时可出现端坐呼吸和夜间阵发性呼吸困难等表现，伴有疲乏、虚弱症状。心脏听诊第一心音减弱，可闻及舒张中晚期奔马律。两肺底可闻及散在湿啰音。晚期如果合并有右心衰竭，还会出现食欲缺乏、周围性水肿和右上腹闷胀感等症状。体检可见颈静脉充盈或怒张，心界扩大，肝大、压痛，肝颈静脉回流征阳性。\"",\""guideline_id\"":\""DOC-CF62B75AEC93F1A6\"",\""evidence_id\"":\""EVD-CARD-FULLBOOK-ABCE1273D5DA9B\"",\""recommendation_class\"":\""N/A\"",\""evidence_level\"":\""N/A\"",\""confidence\"":1.0,\""disease_code\"":\""DIS-CARD-ARR-AF\"",\""disease_name\"":\""心房颤动\""}]"", ""source_code"": ""DIS-CARD-ARR-AF"", ""relationCategory"": ""evidence""}",supported_by_evidence,DIS-CARD-ARR-AF
incoming,EVD-CARD-FULLBOOK-E10320C0BA0B50,EVD-CARD-FULLBOOK-3148AB1C428DE8,"{""relationType"": ""supported_by_evidence"", ""disease_code"": ""DIS-CARD-ARR-AF"", ""evidence_count"": 1, ""document_ids"": [""DOC-CF62B75AEC93F1A6""], ""target_code"": ""EVD-CARD-FULLBOOK-E10320C0BA0B50"", ""batch_id"": ""FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001"", ""source_names"": [""《内科学（第10版）》docx""], ""scope_filter_rule"": ""CDSS查询证据时必须按当前疾病或大类过滤 disease_code"", ""scope_filter_required"": true, ""clinical_review_status"": ""not_applicable"", ""evidence_scope_code"": ""DIS-CARD-ARR-AF"", ""schema_version"": ""V1.4"", ""updated_at"": ""2026-07-14 20:38:36"", ""scope_governance_batch"": ""20260714_证据范围字段回填"", ""source_types"": [""authoritative_textbook""], ""updated_by"": ""codex"", ""formal_cdss_ready"": false, ""id"": ""REL-D818C432E3B1"", ""evidence_ids"": [""EVD-CARD-FULLBOOK-E10320C0BA0B50""], ""review_status"": ""approved"", ""provenance_records_json"": ""[{\""document_id\"":\""DOC-CF62B75AEC93F1A6\"",\""segment_id\"":\""LINE-7529\"",\""source_name\"":\""《内科学（第10版）》docx\"",\""source_type\"":\""authoritative_textbook\"",\""source_version\"":\""第10版\"",\""source_section\"":\""全书跨章节回捞\"",\""source_page\"":\""N/A\"",\""line_start\"":7529,\""line_end\"":7529,\""evidence_text\"":\""（2）心力衰竭：心力衰竭往往在缺血性心肌病发展到一定阶段出现。有些在胸痛发作或心肌梗死早期即有心衰表现，另一些则在较晚期才出现。这是由于急性或慢性心肌缺血坏死引起心肌舒张和收缩功能障碍所致。常表现为劳力性呼吸困难，严重时可出现端坐呼吸和夜间阵发性呼吸困难等表现，伴有疲乏、虚弱症状。心脏听诊第一心音减弱，可闻及舒张中晚期奔马律。两肺底可闻及散在湿啰音。晚期如果合并有右心衰竭，还会出现食欲缺乏、周围性水肿和右上腹闷胀感等症状。体检可见颈静脉充盈或怒张，心界扩大，肝大、压痛，肝颈静脉回流征阳性。\"",\""guideline_id\"":\""DOC-CF62B75AEC93F1A6\"",\""evidence_id\"":\""EVD-CARD-FULLBOOK-E10320C0BA0B50\"",\""recommendation_class\"":\""N/A\"",\""evidence_level\"":\""N/A\"",\""confidence\"":1.0,\""disease_code\"":\""DIS-CARD-ARR-AF\"",\""disease_name\"":\""心房颤动\""}]"", ""source_code"": ""DIS-CARD-ARR-AF"", ""relationCategory"": ""evidence""}",supported_by_evidence,DIS-CARD-ARR-AF
incoming,EVD-CARD-FULLBOOK-799FBDC5C59FAD,EVD-CARD-FULLBOOK-3148AB1C428DE8,"{""relationType"": ""supported_by_evidence"", ""disease_code"": ""DIS-CARD-ARR-AF"", ""evidence_count"": 1, ""document_ids"": [""DOC-CF62B75AEC93F1A6""], ""target_code"": ""EVD-CARD-FULLBOOK-799FBDC5C59FAD"", ""batch_id"": ""FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001"", ""source_names"": [""《内科学（第10版）》docx""], ""scope_filter_rule"": ""CDSS查询证据时必须按当前疾病或大类过滤 disease_code"", ""scope_filter_required"": true, ""clinical_review_status"": ""not_applicable"", ""evidence_scope_code"": ""DIS-CARD-ARR-AF"", ""schema_version"": ""V1.4"", ""updated_at"": ""2026-07-14 20:38:36"", ""scope_governance_batch"": ""20260714_证据范围字段回填"", ""source_types"": [""authoritative_textbook""], ""updated_by"": ""codex"", ""formal_cdss_ready"": false, ""id"": ""REL-DFA7AD2CD4F2"", ""evidence_ids"": [""EVD-CARD-FULLBOOK-799FBDC5C59FAD""], ""review_status"": ""approved"", ""provenance_records_json"": ""[{\""document_id\"":\""DOC-CF62B75AEC93F1A6\"",\""segment_id\"":\""LINE-7529\"",\""source_name\"":\""《内科学（第10版）》docx\"",\""source_type\"":\""authoritative_textbook\"",\""source_version\"":\""第10版\"",\""source_section\"":\""全书跨章节回捞\"",\""source_page\"":\""N/A\"",\""line_start\"":7529,\""line_end\"":7529,\""evidence_text\"":\""（2）心力衰竭：心力衰竭往往在缺血性心肌病发展到一定阶段出现。有些在胸痛发作或心肌梗死早期即有心衰表现，另一些则在较晚期才出现。这是由于急性或慢性心肌缺血坏死引起心肌舒张和收缩功能障碍所致。常表现为劳力性呼吸困难，严重时可出现端坐呼吸和夜间阵发性呼吸困难等表现，伴有疲乏、虚弱症状。心脏听诊第一心音减弱，可闻及舒张中晚期奔马律。两肺底可闻及散在湿啰音。晚期如果合并有右心衰竭，还会出现食欲缺乏、周围性水肿和右上腹闷胀感等症状。体检可见颈静脉充盈或怒张，心界扩大，肝大、压痛，肝颈静脉回流征阳性。\"",\""guideline_id\"":\""DOC-CF62B75AEC93F1A6\"",\""evidence_id\"":\""EVD-CARD-FULLBOOK-799FBDC5C59FAD\"",\""recommendation_class\"":\""N/A\"",\""evidence_level\"":\""N/A\"",\""confidence\"":1.0,\""disease_code\"":\""DIS-CARD-ARR-AF\"",\""disease_name\"":\""心房颤动\""}]"", ""source_code"": ""DIS-CARD-ARR-AF"", ""relationCategory"": ""evidence""}",supported_by_evidence,DIS-CARD-ARR-AF
incoming,EVD-CARD-FULLBOOK-A7270DFFA58929,EVD-CARD-FULLBOOK-3148AB1C428DE8,"{""relationType"": ""supported_by_evidence"", ""disease_code"": ""DIS-CARD-ARR-AF"", ""evidence_count"": 1, ""document_ids"": [""DOC-CF62B75AEC93F1A6""], ""target_code"": ""EVD-CARD-FULLBOOK-A7270DFFA58929"", ""batch_id"": ""FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001"", ""source_names"": [""《内科学（第10版）》docx""], ""scope_filter_rule"": ""CDSS查询证据时必须按当前疾病或大类过滤 disease_code"", ""scope_filter_required"": true, ""clinical_review_status"": ""not_applicable"", ""evidence_scope_code"": ""DIS-CARD-ARR-AF"", ""schema_version"": ""V1.4"", ""updated_at"": ""2026-07-14 20:38:36"", ""scope_governance_batch"": ""20260714_证据范围字段回填"", ""source_types"": [""authoritative_textbook""], ""updated_by"": ""codex"", ""formal_cdss_ready"": false, ""id"": ""REL-9F5E960782F9"", ""evidence_ids"": [""EVD-CARD-FULLBOOK-A7270DFFA58929""], ""review_status"": ""approved"", ""provenance_records_json"": ""[{\""document_id\"":\""DOC-CF62B75AEC93F1A6\"",\""segment_id\"":\""LINE-7529\"",\""source_name\"":\""《内科学（第10版）》docx\"",\""source_type\"":\""authoritative_textbook\"",\""source_version\"":\""第10版\"",\""source_section\"":\""全书跨章节回捞\"",\""source_page\"":\""N/A\"",\""line_start\"":7529,\""line_end\"":7529,\""evidence_text\"":\""（2）心力衰竭：心力衰竭往往在缺血性心肌病发展到一定阶段出现。有些在胸痛发作或心肌梗死早期即有心衰表现，另一些则在较晚期才出现。这是由于急性或慢性心肌缺血坏死引起心肌舒张和收缩功能障碍所致。常表现为劳力性呼吸困难，严重时可出现端坐呼吸和夜间阵发性呼吸困难等表现，伴有疲乏、虚弱症状。心脏听诊第一心音减弱，可闻及舒张中晚期奔马律。两肺底可闻及散在湿啰音。晚期如果合并有右心衰竭，还会出现食欲缺乏、周围性水肿和右上腹闷胀感等症状。体检可见颈静脉充盈或怒张，心界扩大，肝大、压痛，肝颈静脉回流征阳性。\"",\""guideline_id\"":\""DOC-CF62B75AEC93F1A6\"",\""evidence_id\"":\""EVD-CARD-FULLBOOK-A7270DFFA58929\"",\""recommendation_class\"":\""N/A\"",\""evidence_level\"":\""N/A\"",\""confidence\"":1.0,\""disease_code\"":\""DIS-CARD-ARR-AF\"",\""disease_name\"":\""心房颤动\""}]"", ""source_code"": ""DIS-CARD-ARR-AF"", ""relationCategory"": ""evidence""}",supported_by_evidence,DIS-CARD-ARR-AF
incoming,EVD-CARD-FULLBOOK-B4C8833D6F7C22,EVD-CARD-FULLBOOK-3148AB1C428DE8,"{""relationType"": ""supported_by_evidence"", ""disease_code"": ""DIS-CARD-ARR-AF"", ""evidence_count"": 1, ""document_ids"": [""DOC-CF62B75AEC93F1A6""], ""target_code"": ""EVD-CARD-FULLBOOK-B4C8833D6F7C22"", ""batch_id"": ""FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001"", ""source_names"": [""《内科学（第10版）》docx""], ""scope_filter_rule"": ""CDSS查询证据时必须按当前疾病或大类过滤 disease_code"", ""scope_filter_required"": true, ""clinical_review_status"": ""not_applicable"", ""evidence_scope_code"": ""DIS-CARD-ARR-AF"", ""schema_version"": ""V1.4"", ""updated_at"": ""2026-07-14 20:38:36"", ""scope_governance_batch"": ""20260714_证据范围字段回填"", ""source_types"": [""authoritative_textbook""], ""updated_by"": ""codex"", ""formal_cdss_ready"": false, ""id"": ""REL-6B7D291784F9"", ""evidence_ids"": [""EVD-CARD-FULLBOOK-B4C8833D6F7C22""], ""review_status"": ""approved"", ""provenance_records_json"": ""[{\""document_id\"":\""DOC-CF62B75AEC93F1A6\"",\""segment_id\"":\""LINE-7529\"",\""source_name\"":\""《内科学（第10版）》docx\"",\""source_type\"":\""authoritative_textbook\"",\""source_version\"":\""第10版\"",\""source_section\"":\""全书跨章节回捞\"",\""source_page\"":\""N/A\"",\""line_start\"":7529,\""line_end\"":7529,\""evidence_text\"":\""（2）心力衰竭：心力衰竭往往在缺血性心肌病发展到一定阶段出现。有些在胸痛发作或心肌梗死早期即有心衰表现，另一些则在较晚期才出现。这是由于急性或慢性心肌缺血坏死引起心肌舒张和收缩功能障碍所致。常表现为劳力性呼吸困难，严重时可出现端坐呼吸和夜间阵发性呼吸困难等表现，伴有疲乏、虚弱症状。心脏听诊第一心音减弱，可闻及舒张中晚期奔马律。两肺底可闻及散在湿啰音。晚期如果合并有右心衰竭，还会出现食欲缺乏、周围性水肿和右上腹闷胀感等症状。体检可见颈静脉充盈或怒张，心界扩大，肝大、压痛，肝颈静脉回流征阳性。\"",\""guideline_id\"":\""DOC-CF62B75AEC93F1A6\"",\""evidence_id\"":\""EVD-CARD-FULLBOOK-B4C8833D6F7C22\"",\""recommendation_class\"":\""N/A\"",\""evidence_level\"":\""N/A\"",\""confidence\"":1.0,\""disease_code\"":\""DIS-CARD-ARR-AF\"",\""disease_name\"":\""心房颤动\""}]"", ""source_code"": ""DIS-CARD-ARR-AF"", ""relationCategory"": ""evidence""}",supported_by_evidence,DIS-CARD-ARR-AF
incoming,EVD-CARD-FULLBOOK-B681BA27ABA17C,EVD-CARD-FULLBOOK-3148AB1C428DE8,"{""relationType"": ""supported_by_evidence"", ""disease_code"": ""DIS-CARD-ARR-AF"", ""evidence_count"": 1, ""document_ids"": [""DOC-CF62B75AEC93F1A6""], ""target_code"": ""EVD-CARD-FULLBOOK-B681BA27ABA17C"", ""batch_id"": ""FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001"", ""source_names"": [""《内科学（第10版）》docx""], ""scope_filter_rule"": ""CDSS查询证据时必须按当前疾病或大类过滤 disease_code"", ""scope_filter_required"": true, ""clinical_review_status"": ""not_applicable"", ""evidence_scope_code"": ""DIS-CARD-ARR-AF"", ""schema_version"": ""V1.4"", ""updated_at"": ""2026-07-14 20:38:36"", ""scope_governance_batch"": ""20260714_证据范围字段回填"", ""source_types"": [""authoritative_textbook""], ""updated_by"": ""codex"", ""formal_cdss_ready"": false, ""id"": ""REL-B3E36A5B38DE"", ""evidence_ids"": [""EVD-CARD-FULLBOOK-B681BA27ABA17C""], ""review_status"": ""approved"", ""provenance_records_json"": ""[{\""document_id\"":\""DOC-CF62B75AEC93F1A6\"",\""segment_id\"":\""LINE-7529\"",\""source_name\"":\""《内科学（第10版）》docx\"",\""source_type\"":\""authoritative_textbook\"",\""source_version\"":\""第10版\"",\""source_section\"":\""全书跨章节回捞\"",\""source_page\"":\""N/A\"",\""line_start\"":7529,\""line_end\"":7529,\""evidence_text\"":\""（2）心力衰竭：心力衰竭往往在缺血性心肌病发展到一定阶段出现。有些在胸痛发作或心肌梗死早期即有心衰表现，另一些则在较晚期才出现。这是由于急性或慢性心肌缺血坏死引起心肌舒张和收缩功能障碍所致。常表现为劳力性呼吸困难，严重时可出现端坐呼吸和夜间阵发性呼吸困难等表现，伴有疲乏、虚弱症状。心脏听诊第一心音减弱，可闻及舒张中晚期奔马律。两肺底可闻及散在湿啰音。晚期如果合并有右心衰竭，还会出现食欲缺乏、周围性水肿和右上腹闷胀感等症状。体检可见颈静脉充盈或怒张，心界扩大，肝大、压痛，肝颈静脉回流征阳性。\"",\""guideline_id\"":\""DOC-CF62B75AEC93F1A6\"",\""evidence_id\"":\""EVD-CARD-FULLBOOK-B681BA27ABA17C\"",\""recommendation_class\"":\""N/A\"",\""evidence_level\"":\""N/A\"",\""confidence\"":1.0,\""disease_code\"":\""DIS-CARD-ARR-AF\"",\""disease_name\"":\""心房颤动\""}]"", ""source_code"": ""DIS-CARD-ARR-AF"", ""relationCategory"": ""evidence""}",supported_by_evidence,DIS-CARD-ARR-AF
incoming,EVD-CARD-FULLBOOK-4E09E362A79656,EVD-CARD-FULLBOOK-3148AB1C428DE8,"{""relationType"": ""supported_by_evidence"", ""disease_code"": ""DIS-CARD-ARR-AF"", ""evidence_count"": 1, ""document_ids"": [""DOC-CF62B75AEC93F1A6""], ""target_code"": ""EVD-CARD-FULLBOOK-4E09E362A79656"", ""batch_id"": ""FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001"", ""source_names"": [""《内科学（第10版）》docx""], ""scope_filter_rule"": ""CDSS查询证据时必须按当前疾病或大类过滤 disease_code"", ""scope_filter_required"": true, ""clinical_review_status"": ""not_applicable"", ""evidence_scope_code"": ""DIS-CARD-ARR-AF"", ""schema_version"": ""V1.4"", ""updated_at"": ""2026-07-14 20:38:36"", ""scope_governance_batch"": ""20260714_证据范围字段回填"", ""source_types"": [""authoritative_textbook""], ""updated_by"": ""codex"", ""formal_cdss_ready"": false, ""id"": ""REL-DF1A6F3DBE41"", ""evidence_ids"": [""EVD-CARD-FULLBOOK-4E09E362A79656""], ""review_status"": ""approved"", ""provenance_records_json"": ""[{\""document_id\"":\""DOC-CF62B75AEC93F1A6\"",\""segment_id\"":\""LINE-7529\"",\""source_name\"":\""《内科学（第10版）》docx\"",\""source_type\"":\""authoritative_textbook\"",\""source_version\"":\""第10版\"",\""source_section\"":\""全书跨章节回捞\"",\""source_page\"":\""N/A\"",\""line_start\"":7529,\""line_end\"":7529,\""evidence_text\"":\""（2）心力衰竭：心力衰竭往往在缺血性心肌病发展到一定阶段出现。有些在胸痛发作或心肌梗死早期即有心衰表现，另一些则在较晚期才出现。这是由于急性或慢性心肌缺血坏死引起心肌舒张和收缩功能障碍所致。常表现为劳力性呼吸困难，严重时可出现端坐呼吸和夜间阵发性呼吸困难等表现，伴有疲乏、虚弱症状。心脏听诊第一心音减弱，可闻及舒张中晚期奔马律。两肺底可闻及散在湿啰音。晚期如果合并有右心衰竭，还会出现食欲缺乏、周围性水肿和右上腹闷胀感等症状。体检可见颈静脉充盈或怒张，心界扩大，肝大、压痛，肝颈静脉回流征阳性。\"",\""guideline_id\"":\""DOC-CF62B75AEC93F1A6\"",\""evidence_id\"":\""EVD-CARD-FULLBOOK-4E09E362A79656\"",\""recommendation_class\"":\""N/A\"",\""evidence_level\"":\""N/A\"",\""confidence\"":1.0,\""disease_code\"":\""DIS-CARD-ARR-AF\"",\""disease_name\"":\""心房颤动\""}]"", ""source_code"": ""DIS-CARD-ARR-AF"", ""relationCategory"": ""evidence""}",supported_by_evidence,DIS-CARD-ARR-AF
incoming,EVD-CARD-FULLBOOK-CC069D98837F1D,EVD-CARD-FULLBOOK-3148AB1C428DE8,"{""relationType"": ""supported_by_evidence"", ""disease_code"": ""DIS-CARD-ARR-AF"", ""evidence_count"": 1, ""document_ids"": [""DOC-CF62B75AEC93F1A6""], ""target_code"": ""EVD-CARD-FULLBOOK-CC069D98837F1D"", ""batch_id"": ""FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001"", ""source_names"": [""《内科学（第10版）》docx""], ""scope_filter_rule"": ""CDSS查询证据时必须按当前疾病或大类过滤 disease_code"", ""scope_filter_required"": true, ""clinical_review_status"": ""not_applicable"", ""evidence_scope_code"": ""DIS-CARD-ARR-AF"", ""schema_version"": ""V1.4"", ""updated_at"": ""2026-07-14 20:38:36"", ""scope_governance_batch"": ""20260714_证据范围字段回填"", ""source_types"": [""authoritative_textbook""], ""updated_by"": ""codex"", ""formal_cdss_ready"": false, ""id"": ""REL-3967503507E3"", ""evidence_ids"": [""EVD-CARD-FULLBOOK-CC069D98837F1D""], ""review_status"": ""approved"", ""provenance_records_json"": ""[{\""document_id\"":\""DOC-CF62B75AEC93F1A6\"",\""segment_id\"":\""LINE-7529\"",\""source_name\"":\""《内科学（第10版）》docx\"",\""source_type\"":\""authoritative_textbook\"",\""source_version\"":\""第10版\"",\""source_section\"":\""全书跨章节回捞\"",\""source_page\"":\""N/A\"",\""line_start\"":7529,\""line_end\"":7529,\""evidence_text\"":\""（2）心力衰竭：心力衰竭往往在缺血性心肌病发展到一定阶段出现。有些在胸痛发作或心肌梗死早期即有心衰表现，另一些则在较晚期才出现。这是由于急性或慢性心肌缺血坏死引起心肌舒张和收缩功能障碍所致。常表现为劳力性呼吸困难，严重时可出现端坐呼吸和夜间阵发性呼吸困难等表现，伴有疲乏、虚弱症状。心脏听诊第一心音减弱，可闻及舒张中晚期奔马律。两肺底可闻及散在湿啰音。晚期如果合并有右心衰竭，还会出现食欲缺乏、周围性水肿和右上腹闷胀感等症状。体检可见颈静脉充盈或怒张，心界扩大，肝大、压痛，肝颈静脉回流征阳性。\"",\""guideline_id\"":\""DOC-CF62B75AEC93F1A6\"",\""evidence_id\"":\""EVD-CARD-FULLBOOK-CC069D98837F1D\"",\""recommendation_class\"":\""N/A\"",\""evidence_level\"":\""N/A\"",\""confidence\"":1.0,\""disease_code\"":\""DIS-CARD-ARR-AF\"",\""disease_name\"":\""心房颤动\""}]"", ""source_code"": ""DIS-CARD-ARR-AF"", ""relationCategory"": ""evidence""}",supported_by_evidence,DIS-CARD-ARR-AF
incoming,EVD-CARD-FULLBOOK-2A8F8B986DB1E1,EVD-CARD-FULLBOOK-3148AB1C428DE8,"{""relationType"": ""supported_by_evidence"", ""disease_code"": ""DIS-CARD-ARR-AF"", ""evidence_count"": 1, ""document_ids"": [""DOC-CF62B75AEC93F1A6""], ""target_code"": ""EVD-CARD-FULLBOOK-2A8F8B986DB1E1"", ""batch_id"": ""FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001"", ""source_names"": [""《内科学（第10版）》docx""], ""scope_filter_rule"": ""CDSS查询证据时必须按当前疾病或大类过滤 disease_code"", ""scope_filter_required"": true, ""clinical_review_status"": ""not_applicable"", ""evidence_scope_code"": ""DIS-CARD-ARR-AF"", ""schema_version"": ""V1.4"", ""updated_at"": ""2026-07-14 20:38:36"", ""scope_governance_batch"": ""20260714_证据范围字段回填"", ""source_types"": [""authoritative_textbook""], ""updated_by"": ""codex"", ""formal_cdss_ready"": false, ""id"": ""REL-878B5012931B"", ""evidence_ids"": [""EVD-CARD-FULLBOOK-2A8F8B986DB1E1""], ""review_status"": ""approved"", ""provenance_records_json"": ""[{\""document_id\"":\""DOC-CF62B75AEC93F1A6\"",\""segment_id\"":\""LINE-7529\"",\""source_name\"":\""《内科学（第10版）》docx\"",\""source_type\"":\""authoritative_textbook\"",\""source_version\"":\""第10版\"",\""source_section\"":\""全书跨章节回捞\"",\""source_page\"":\""N/A\"",\""line_start\"":7529,\""line_end\"":7529,\""evidence_text\"":\""（2）心力衰竭：心力衰竭往往在缺血性心肌病发展到一定阶段出现。有些在胸痛发作或心肌梗死早期即有心衰表现，另一些则在较晚期才出现。这是由于急性或慢性心肌缺血坏死引起心肌舒张和收缩功能障碍所致。常表现为劳力性呼吸困难，严重时可出现端坐呼吸和夜间阵发性呼吸困难等表现，伴有疲乏、虚弱症状。心脏听诊第一心音减弱，可闻及舒张中晚期奔马律。两肺底可闻及散在湿啰音。晚期如果合并有右心衰竭，还会出现食欲缺乏、周围性水肿和右上腹闷胀感等症状。体检可见颈静脉充盈或怒张，心界扩大，肝大、压痛，肝颈静脉回流征阳性。\"",\""guideline_id\"":\""DOC-CF62B75AEC93F1A6\"",\""evidence_id\"":\""EVD-CARD-FULLBOOK-2A8F8B986DB1E1\"",\""recommendation_class\"":\""N/A\"",\""evidence_level\"":\""N/A\"",\""confidence\"":1.0,\""disease_code\"":\""DIS-CARD-ARR-AF\"",\""disease_name\"":\""心房颤动\""}]"", ""source_code"": ""DIS-CARD-ARR-AF"", ""relationCategory"": ""evidence""}",supported_by_evidence,DIS-CARD-ARR-AF
incoming,EVD-CARD-FULLBOOK-8D006BC2176217,EVD-CARD-FULLBOOK-3148AB1C428DE8,"{""relationType"": ""supported_by_evidence"", ""disease_code"": ""DIS-CARD-ARR-AF"", ""evidence_count"": 1, ""document_ids"": [""DOC-CF62B75AEC93F1A6""], ""target_code"": ""EVD-CARD-FULLBOOK-8D006BC2176217"", ""batch_id"": ""FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001"", ""source_names"": [""《内科学（第10版）》docx""], ""scope_filter_rule"": ""CDSS查询证据时必须按当前疾病或大类过滤 disease_code"", ""scope_filter_required"": true, ""clinical_review_status"": ""not_applicable"", ""evidence_scope_code"": ""DIS-CARD-ARR-AF"", ""schema_version"": ""V1.4"", ""updated_at"": ""2026-07-14 20:38:36"", ""scope_governance_batch"": ""20260714_证据范围字段回填"", ""source_types"": [""authoritative_textbook""], ""updated_by"": ""codex"", ""formal_cdss_ready"": false, ""id"": ""REL-73FBCAFC58C5"", ""evidence_ids"": [""EVD-CARD-FULLBOOK-8D006BC2176217""], ""review_status"": ""approved"", ""provenance_records_json"": ""[{\""document_id\"":\""DOC-CF62B75AEC93F1A6\"",\""segment_id\"":\""LINE-7529\"",\""source_name\"":\""《内科学（第10版）》docx\"",\""source_type\"":\""authoritative_textbook\"",\""source_version\"":\""第10版\"",\""source_section\"":\""全书跨章节回捞\"",\""source_page\"":\""N/A\"",\""line_start\"":7529,\""line_end\"":7529,\""evidence_text\"":\""（2）心力衰竭：心力衰竭往往在缺血性心肌病发展到一定阶段出现。有些在胸痛发作或心肌梗死早期即有心衰表现，另一些则在较晚期才出现。这是由于急性或慢性心肌缺血坏死引起心肌舒张和收缩功能障碍所致。常表现为劳力性呼吸困难，严重时可出现端坐呼吸和夜间阵发性呼吸困难等表现，伴有疲乏、虚弱症状。心脏听诊第一心音减弱，可闻及舒张中晚期奔马律。两肺底可闻及散在湿啰音。晚期如果合并有右心衰竭，还会出现食欲缺乏、周围性水肿和右上腹闷胀感等症状。体检可见颈静脉充盈或怒张，心界扩大，肝大、压痛，肝颈静脉回流征阳性。\"",\""guideline_id\"":\""DOC-CF62B75AEC93F1A6\"",\""evidence_id\"":\""EVD-CARD-FULLBOOK-8D006BC2176217\"",\""recommendation_class\"":\""N/A\"",\""evidence_level\"":\""N/A\"",\""confidence\"":1.0,\""disease_code\"":\""DIS-CARD-ARR-AF\"",\""disease_name\"":\""心房颤动\""}]"", ""source_code"": ""DIS-CARD-ARR-AF"", ""relationCategory"": ""evidence""}",supported_by_evidence,DIS-CARD-ARR-AF
