duplicate_code,duplicate_name,relation_type,source_code,source_name,standard_node_code
PROC-CARD-2FA3B15D2F3F,TAVI,has_recommended_action,RULE-CARD-0093267E7B4D,主动脉瓣狭窄临床规则-C51052,PROC-CARD-TEXT-53ECAA23AE
IND-CARDIAC-TROPONIN,肌钙蛋白,has_recommended_action,RULE-CARD-021BD11BE2FC,先天性心脏病临床规则-14C806,CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595
LAB-CARD-AAA739D91A3A,BNP,has_recommended_action,RULE-CARD-02C53633BF4D,肺动脉高压临床规则-C21524,CARD-SKELETON-20260709-LABTEST-C35CBC9355102D0B
PROC-CARD-2FA3B15D2F3F,TAVI,has_recommended_action,RULE-CARD-02E10FF82C92,主动脉瓣狭窄临床规则-238D7E,PROC-CARD-TEXT-53ECAA23AE
PROC-CARD-2FA3B15D2F3F,TAVI,has_recommended_action,RULE-CARD-0306E78013B5,心脏瓣膜病临床规则-7DFFEC,PROC-CARD-TEXT-53ECAA23AE
LAB-CARD-AAA739D91A3A,BNP,has_recommended_action,RULE-CARD-034B642700EB,心肌炎临床规则-489ED2,CARD-SKELETON-20260709-LABTEST-C35CBC9355102D0B
IND-CARDIAC-TROPONIN,肌钙蛋白,has_recommended_action,RULE-CARD-034B642700EB,心肌炎临床规则-489ED2,CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595
PROC-CARD-B4FC5ED6A1F7,PBPV,has_recommended_action,RULE-CARD-03CD33389D9E,先天性心脏病临床规则-B84D2D,PROC-CARD-5558D37982AF
PROC-CARD-2FA3B15D2F3F,TAVI,has_recommended_action,RULE-CARD-049FFB3F145F,主动脉瓣反流临床规则-E7EA71,PROC-CARD-TEXT-53ECAA23AE
PROC-CARD-2FA3B15D2F3F,TAVI,has_recommended_action,RULE-CARD-053E7ECC7FDD,心脏瓣膜病临床规则-E2A092,PROC-CARD-TEXT-53ECAA23AE
PROC-CARD-B4FC5ED6A1F7,PBPV,has_recommended_action,RULE-CARD-06B481EEE480,肺动脉瓣狭窄临床规则-9F3DD5,PROC-CARD-5558D37982AF
LAB-CARD-AAA739D91A3A,BNP,has_recommended_action,RULE-CARD-0772C307B10C,特发性肺动脉高压临床规则-9A469D,CARD-SKELETON-20260709-LABTEST-C35CBC9355102D0B
IND-CARDIAC-TROPONIN,肌钙蛋白,has_recommended_action,RULE-CARD-0772C307B10C,特发性肺动脉高压临床规则-9A469D,CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595
PROC-CARD-2FA3B15D2F3F,TAVI,has_recommended_action,RULE-CARD-07780A7B3599,二尖瓣反流临床规则-3E212F,PROC-CARD-TEXT-53ECAA23AE
PROC-CARD-2FA3B15D2F3F,TAVI,has_recommended_action,RULE-CARD-087C00048AF5,主动脉瓣反流临床规则-2305D8,PROC-CARD-TEXT-53ECAA23AE
IND-CARDIAC-TROPONIN,肌钙蛋白,has_recommended_action,RULE-CARD-0885EF1B0F6D,心肌炎临床规则-61FD64,CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595
PROC-CARD-2FA3B15D2F3F,TAVI,has_recommended_action,RULE-CARD-09A2834C04E8,主动脉瓣狭窄临床规则-A89A64,PROC-CARD-TEXT-53ECAA23AE
PROC-CARD-2FA3B15D2F3F,TAVI,has_recommended_action,RULE-CARD-09C018952860,主动脉瓣狭窄临床规则-DC1EA4,PROC-CARD-TEXT-53ECAA23AE
LAB-CARD-AAA739D91A3A,BNP,has_recommended_action,RULE-CARD-09EF1037E440,二尖瓣反流临床规则-878DFE,CARD-SKELETON-20260709-LABTEST-C35CBC9355102D0B
EXAM-CARD-61766890B7D2,心脏磁共振,has_recommended_action,RULE-CARD-0A6B913CE332,先天性心脏病临床规则-FE010D,EXAM-CMR
LAB-CARD-AAA739D91A3A,BNP,has_recommended_action,RULE-CARD-0AFC2FE8844F,暴发性心肌炎临床规则-39CD1C,CARD-SKELETON-20260709-LABTEST-C35CBC9355102D0B
IND-CARDIAC-TROPONIN,肌钙蛋白,has_recommended_action,RULE-CARD-0AFC2FE8844F,暴发性心肌炎临床规则-39CD1C,CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595
IND-CARDIAC-TROPONIN,肌钙蛋白,has_recommended_action,RULE-CARD-0BCD0A1F23BD,心包炎临床规则-5B57F5,CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595
IND-CARDIAC-TROPONIN,肌钙蛋白,has_recommended_action,RULE-CARD-0CC44BB2D901,先天性心脏病相关肺动脉高压临床规则-6E4781,CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595
EXAM-CARD-61766890B7D2,心脏磁共振,has_recommended_action,RULE-CARD-0CC6561CED79,心包炎临床规则-FD4770,EXAM-CMR
PROC-CARD-2FA3B15D2F3F,TAVI,has_recommended_action,RULE-CARD-0CE0030A6B57,主动脉瓣狭窄临床规则-1BB3C9,PROC-CARD-TEXT-53ECAA23AE
PROC-CARD-2FA3B15D2F3F,TAVI,has_recommended_action,RULE-CARD-0DCB4C078A80,主动脉瓣狭窄临床规则-EE793C,PROC-CARD-TEXT-53ECAA23AE
LAB-CARD-AAA739D91A3A,BNP,has_recommended_action,RULE-CARD-0EDB190CCF7C,遗传性肺动脉高压临床规则-85B9E0,CARD-SKELETON-20260709-LABTEST-C35CBC9355102D0B
PROC-CARD-2FA3B15D2F3F,TAVI,has_recommended_action,RULE-CARD-0F0F7FBB71E8,三尖瓣反流临床规则-4967D0,PROC-CARD-TEXT-53ECAA23AE
PROC-CARD-2FA3B15D2F3F,TAVI,has_recommended_action,RULE-CARD-0F2E99F7D16F,心脏瓣膜病临床规则-6E6C0F,PROC-CARD-TEXT-53ECAA23AE
LAB-CARD-AAA739D91A3A,BNP,has_recommended_action,RULE-CARD-144AF4B93CA3,慢性血栓栓塞性肺动脉高压临床规则-210378,CARD-SKELETON-20260709-LABTEST-C35CBC9355102D0B
PROC-CARD-2FA3B15D2F3F,TAVI,has_recommended_action,RULE-CARD-147C426B23C8,心脏瓣膜病临床规则-69617A,PROC-CARD-TEXT-53ECAA23AE
LAB-CARD-AAA739D91A3A,BNP,has_recommended_action,RULE-CARD-161E2BC00150,主动脉瓣狭窄临床规则-206F4E,CARD-SKELETON-20260709-LABTEST-C35CBC9355102D0B
PROC-CARD-2FA3B15D2F3F,TAVI,has_recommended_action,RULE-CARD-16377C89400F,二尖瓣反流临床规则-2270BA,PROC-CARD-TEXT-53ECAA23AE
PROC-CARD-2FA3B15D2F3F,TAVI,has_recommended_action,RULE-CARD-164F64F41F18,二尖瓣反流临床规则-0FD3BF,PROC-CARD-TEXT-53ECAA23AE
PROC-CARD-2FA3B15D2F3F,TAVI,has_recommended_action,RULE-CARD-185D316506B3,主动脉瓣狭窄临床规则-1050CF,PROC-CARD-TEXT-53ECAA23AE
LAB-CARD-AAA739D91A3A,BNP,has_recommended_action,RULE-CARD-18FD3CC09307,主动脉瓣狭窄临床规则-F1690C,CARD-SKELETON-20260709-LABTEST-C35CBC9355102D0B
LAB-CARD-AAA739D91A3A,BNP,has_recommended_action,RULE-CARD-1934481E85FC,心肌炎临床规则-3CB4D0,CARD-SKELETON-20260709-LABTEST-C35CBC9355102D0B
IND-CARDIAC-TROPONIN,肌钙蛋白,has_recommended_action,RULE-CARD-1934481E85FC,心肌炎临床规则-3CB4D0,CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595
PROC-CARD-2FA3B15D2F3F,TAVI,has_recommended_action,RULE-CARD-19F49792FC7D,主动脉瓣狭窄临床规则-907755,PROC-CARD-TEXT-53ECAA23AE
PROC-CARD-2FA3B15D2F3F,TAVI,has_recommended_action,RULE-CARD-1A701C0D7EF1,主动脉瓣反流临床规则-BC0396,PROC-CARD-TEXT-53ECAA23AE
PROC-CARD-2FA3B15D2F3F,TAVI,has_recommended_action,RULE-CARD-1B9019329E4F,三尖瓣反流临床规则-1675CA,PROC-CARD-TEXT-53ECAA23AE
PROC-CARD-2FA3B15D2F3F,TAVI,has_recommended_action,RULE-CARD-1BA752C0292D,主动脉瓣狭窄临床规则-E5BDDB,PROC-CARD-TEXT-53ECAA23AE
PROC-CARD-2FA3B15D2F3F,TAVI,has_recommended_action,RULE-CARD-1BBA72CC16A8,心脏瓣膜病临床规则-97D316,PROC-CARD-TEXT-53ECAA23AE
PROC-CARD-2FA3B15D2F3F,TAVI,has_recommended_action,RULE-CARD-1C74EA44685B,主动脉瓣狭窄临床规则-C18C63,PROC-CARD-TEXT-53ECAA23AE
LAB-CARD-AAA739D91A3A,BNP,has_recommended_action,RULE-CARD-1C9B3DA2442C,肺动脉高压临床规则-9554EB,CARD-SKELETON-20260709-LABTEST-C35CBC9355102D0B
PROC-CARD-2FA3B15D2F3F,TAVI,has_recommended_action,RULE-CARD-1D380A9AD98F,主动脉瓣狭窄临床规则-EF1794,PROC-CARD-TEXT-53ECAA23AE
PROC-CARD-2FA3B15D2F3F,TAVI,has_recommended_action,RULE-CARD-1EF6C1350BEF,感染性心内膜炎临床规则-9D379F,PROC-CARD-TEXT-53ECAA23AE
PROC-CARD-2FA3B15D2F3F,TAVI,has_recommended_action,RULE-CARD-1FD7D4833967,主动脉瓣反流临床规则-E9F567,PROC-CARD-TEXT-53ECAA23AE
LAB-CARD-AAA739D91A3A,BNP,has_recommended_action,RULE-CARD-20413A17436D,二尖瓣反流临床规则-488CB6,CARD-SKELETON-20260709-LABTEST-C35CBC9355102D0B
