disease_code,disease_name,entity_type,name,node_codes,node_count
DIS-CARD-AORTIC-DISSECTION,主动脉夹层,Complication,感染性心内膜炎,"['COMP-CARD-TEXT-4FC74E832A', 'COMP-CARD-4FC74E832AFB']",2
DIS-CARD-AORTIC-DISSECTION,主动脉夹层,Complication,肺动脉高压,"['COMP-CARD-FULLBOOK-0B4E779BE0', 'COMP-CARD-0B4E779BE011']",2
DIS-CARD-AORTIC-DISSECTION,主动脉夹层,Complication,脑卒中,"['COMP-CARD-TEXT-2EDA47E727', 'COMP-CARD-2EDA47E727DD']",2
DIS-CARD-AORTIC-DISSECTION,主动脉夹层,Exam,心脏磁共振,"['EXAM-CMR', 'EXAM-CARD-61766890B7D2']",2
DIS-CARD-AORTIC-DISSECTION,主动脉夹层,LabTest,肌钙蛋白,"['IND-CARDIAC-TROPONIN', 'CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595']",2
DIS-CARD-AORTIC-DISSECTION,主动脉夹层,RiskFactor,创伤,"['RF-CARD-FULLBOOK-CCD18035D8', 'RF-CARD-CCD18035D80D']",2
DIS-CARD-AORTIC-DISSECTION,主动脉夹层,Sign,发绀,"['SIGN-CARD-TEXT-E67B99C5BD', 'SIGN-CARD-E67B99C5BD07']",2
DIS-CARD-AORTIC-DISSECTION,主动脉夹层,Sign,舒张期杂音,"['CARD-SKELETON-20260709-SIGN-476050EFAFFE21D8', 'SIGN-CARD-5DE431E83E76']",2
DIS-CARD-AORTIC-DISSECTION,主动脉夹层,Symptom,咯血,"['SYM-CARD-TEXT-DB87B8B091', 'SYM-CARD-DB87B8B091D1']",2
DIS-CARD-AORTIC-DISSECTION,主动脉夹层,Symptom,咳嗽,"['SYM-CARD-TEXT-24EDE9C876', 'SYM-CARD-24EDE9C8766A']",2
DIS-CARD-ARR-AVB,房室传导阻滞,Complication,感染性心内膜炎,"['COMP-CARD-TEXT-4FC74E832A', 'COMP-CARD-4FC74E832AFB']",2
DIS-CARD-ARR-AVB,房室传导阻滞,Complication,猝死,"['COMP-CARD-TEXT-578BE2D590', 'COMP-CARD-578BE2D590E3']",2
DIS-CARD-ARR-AVB,房室传导阻滞,Complication,肺动脉高压,"['COMP-CARD-FULLBOOK-0B4E779BE0', 'COMP-CARD-0B4E779BE011']",2
DIS-CARD-ARR-AVB,房室传导阻滞,Complication,脑卒中,"['COMP-CARD-TEXT-2EDA47E727', 'COMP-CARD-2EDA47E727DD']",2
DIS-CARD-ARR-AVB,房室传导阻滞,Exam,心脏磁共振,"['EXAM-CMR', 'EXAM-CARD-61766890B7D2']",2
DIS-CARD-ARR-AVB,房室传导阻滞,LabTest,C反应蛋白,"['LAB-CARD-TEXT-BF2619C772', 'LAB-CARD-BF2619C772EC']",2
DIS-CARD-ARR-AVB,房室传导阻滞,LabTest,红细胞沉降率,"['LAB-CARD-TEXT-1BE2B3C08B', 'LAB-CARD-1BE2B3C08B76']",2
DIS-CARD-ARR-AVB,房室传导阻滞,LabTest,肌钙蛋白,"['IND-CARDIAC-TROPONIN', 'CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595']",2
DIS-CARD-ARR-AVB,房室传导阻滞,RiskFactor,创伤,"['RF-CARD-FULLBOOK-CCD18035D8', 'RF-CARD-CCD18035D80D']",2
DIS-CARD-ARR-AVB,房室传导阻滞,Sign,发绀,"['SIGN-CARD-TEXT-E67B99C5BD', 'SIGN-CARD-E67B99C5BD07']",2
DIS-CARD-ARR-AVB,房室传导阻滞,Sign,心动过缓,"['SIGN-CARD-TEXT-C0F47862DF', 'SIGN-CARD-C0F47862DF17']",2
DIS-CARD-ARR-AVB,房室传导阻滞,Symptom,咯血,"['SYM-CARD-TEXT-DB87B8B091', 'SYM-CARD-DB87B8B091D1']",2
DIS-CARD-ARR-AVB,房室传导阻滞,Symptom,咳嗽,"['SYM-CARD-TEXT-24EDE9C876', 'SYM-CARD-24EDE9C8766A']",2
DIS-CARD-ARR-AVB,房室传导阻滞,Symptom,心绞痛,"['CARD-SKELETON-20260709-SYMPTOM-E201291B32C71911', 'SYM-CARD-1001D988DAB7']",2
DIS-CARD-ARR-AVB1,一度房室传导阻滞,Sign,心动过缓,"['SIGN-CARD-TEXT-C0F47862DF', 'SIGN-CARD-C0F47862DF17']",2
DIS-CARD-ARR-AVB3,三度房室传导阻滞,Sign,心动过缓,"['SIGN-CARD-TEXT-C0F47862DF', 'SIGN-CARD-C0F47862DF17']",2
DIS-CARD-ARR-BBB,束支传导阻滞,Exam,心脏磁共振,"['EXAM-CMR', 'EXAM-CARD-61766890B7D2']",2
DIS-CARD-ARR-BBB,束支传导阻滞,LabTest,肌钙蛋白,"['IND-CARDIAC-TROPONIN', 'CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595']",2
DIS-CARD-ARR-BBB,束支传导阻滞,Procedure,心脏再同步治疗,"['PROC-CARD-TEXT-D2C1F9E289', 'PROC-CARD-D2C1F9E28927']",2
DIS-CARD-ARR-BBB,束支传导阻滞,Procedure,植入式心律转复除颤器,"['PROC-CARD-TEXT-D9A9D30763', 'PROC-CARD-D9A9D3076376']",2
DIS-CARD-ARR-BRADY,缓慢性心律失常,Prognosis,缓慢性心律失常预后,"['PROG-CARD-E762BAE3A98A', 'PROG-CARD-BRADY-TREATABLE']",2
DIS-CARD-ARR-SB,窦性心动过缓,Sign,心动过缓,"['SIGN-CARD-TEXT-C0F47862DF', 'SIGN-CARD-C0F47862DF17']",2
DIS-CARD-ARR-SND,窦房结功能障碍,Procedure,心脏再同步治疗,"['PROC-CARD-TEXT-D2C1F9E289', 'PROC-CARD-D2C1F9E28927']",2
DIS-CARD-ARR-SND,窦房结功能障碍,Procedure,植入式心律转复除颤器,"['PROC-CARD-TEXT-D9A9D30763', 'PROC-CARD-D9A9D3076376']",2
DIS-CARD-ARR-SND,窦房结功能障碍,Sign,心动过缓,"['SIGN-CARD-TEXT-C0F47862DF', 'SIGN-CARD-C0F47862DF17']",2
DIS-CARD-ASD,房间隔缺损,Complication,感染性心内膜炎,"['COMP-CARD-TEXT-4FC74E832A', 'COMP-CARD-4FC74E832AFB']",2
DIS-CARD-ASD,房间隔缺损,Complication,猝死,"['COMP-CARD-TEXT-578BE2D590', 'COMP-CARD-578BE2D590E3']",2
DIS-CARD-ASD,房间隔缺损,Complication,肺动脉高压,"['COMP-CARD-FULLBOOK-0B4E779BE0', 'COMP-CARD-0B4E779BE011']",2
DIS-CARD-ASD,房间隔缺损,Complication,脑卒中,"['COMP-CARD-TEXT-2EDA47E727', 'COMP-CARD-2EDA47E727DD']",2
DIS-CARD-ASD,房间隔缺损,Exam,经食管超声心动图,"['EXAM-CARD-705D7CD61EB7', 'EXAM-TEE']",2
DIS-CARD-ASD,房间隔缺损,RiskFactor,创伤,"['RF-CARD-FULLBOOK-CCD18035D8', 'RF-CARD-CCD18035D80D']",2
DIS-CARD-ASD,房间隔缺损,Sign,发绀,"['SIGN-CARD-TEXT-E67B99C5BD', 'SIGN-CARD-E67B99C5BD07']",2
DIS-CARD-CAD-ACS,急性冠脉综合征,LabTest,红细胞沉降率,"['LAB-CARD-TEXT-1BE2B3C08B', 'LAB-CARD-1BE2B3C08B76']",2
DIS-CARD-CAD-AMI,急性心肌梗死,Exam,X线,"['CARD-SKELETON-20260709-EXAM-B66979D14041DD2B', 'EXAM-CARD-CADREM-AMI-C78840F44A']",2
DIS-CARD-CAD-AMI,急性心肌梗死,LabTest,C反应蛋白,"['LAB-CARD-TEXT-BF2619C772', 'LAB-CARD-BF2619C772EC']",2
DIS-CARD-CAD-AMI,急性心肌梗死,LabTest,D-二聚体,"['LAB-CARD-CADREM-AMI-2E1F4EC426', 'LAB-CARD-2E1F4EC42626']",2
DIS-CARD-CAD-AMI,急性心肌梗死,LabTest,红细胞沉降率,"['LAB-CARD-TEXT-1BE2B3C08B', 'LAB-CARD-1BE2B3C08B76']",2
DIS-CARD-CAD-AMI,急性心肌梗死,LabTest,肌红蛋白,"['LAB-CARD-STEMI-4BA28B772105', 'LAB-CARD-CADREM-AMI-4BA28B7721']",2
DIS-CARD-CAD-AMI,急性心肌梗死,LabTest,肌酸激酶,"['CARD-SKELETON-20260709-LABTEST-70C17E9844CB4791', 'LAB-CARD-CADREM-AMI-DF011D5802']",2
DIS-CARD-CAD-AMI,急性心肌梗死,LabTest,肌钙蛋白,"['CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595', 'LAB-CARD-CADREM-AMI-BE6E060391']",2
DIS-CARD-CAD-AMI,急性心肌梗死,LabTest,血常规,"['LAB-CARD-CADREM-AMI-3F8D27CB7E', 'LAB-CARD-3F8D27CB7EC9']",2
DIS-CARD-CAD-ATHEROSCLEROSIS,动脉粥样硬化,LabTest,C反应蛋白,"['LAB-CARD-TEXT-BF2619C772', 'LAB-CARD-BF2619C772EC']",2
DIS-CARD-CAD-ATHEROSCLEROSIS,动脉粥样硬化,LabTest,红细胞沉降率,"['LAB-CARD-TEXT-1BE2B3C08B', 'LAB-CARD-1BE2B3C08B76']",2
DIS-CARD-CAD-ATHEROSCLEROSIS,动脉粥样硬化,LabTest,血脂,"['CARD-SKELETON-20260709-LABTEST-98464EDC80D81183', 'LAB-CARD-C59B64C19ADD']",2
DIS-CARD-CAD-CHD,冠状动脉粥样硬化性心脏病,LabTest,红细胞沉降率,"['LAB-CARD-TEXT-1BE2B3C08B', 'LAB-CARD-1BE2B3C08B76']",2
DIS-CARD-CAD-ICM,缺血性心肌病,Exam,冠状动脉CT血管成像,"['EXAM-CARD-F60922D428D5', 'EXAM-CARD-CADREM-ICM-F60922D428']",2
DIS-CARD-CAD-ICM,缺血性心肌病,Procedure,血运重建,"['CARD-SKELETON-20260709-PROCEDURE-04A901E627374E47', 'PROC-CARD-CADREM-ICM-12A7FC2FA4']",2
DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,Exam,X线,"['CARD-SKELETON-20260709-EXAM-B66979D14041DD2B', 'EXAM-CARD-CADREM-NSTEMI-C78840F44A']",2
DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,Exam,胸部X线,"['EXAM-CARD-CADREM-NSTEMI-D690076CB8', 'EXAM-CARD-D690076CB8EB']",2
