machine_precheck_decision,slot,row_count,slot_total,ratio_in_slot
仅作重抽取线索,clinical_manifestation,1591,1832,0.8684
仅作重抽取线索,complication,1026,1255,0.8175
仅作重抽取线索,treatment,615,809,0.7602
仅作重抽取线索,risk_factor,612,934,0.6552
仅作重抽取线索,exam_lab,579,641,0.9033
仅作重抽取线索,etiology_pathogenesis,331,382,0.8665
不建议复用,risk_factor,322,934,0.3448
不建议复用,clinical_manifestation,241,1832,0.1316
不建议复用,complication,229,1255,0.1825
不建议复用,treatment,194,809,0.2398
仅作重抽取线索,diagnosis_differential,154,179,0.8603
不建议复用,exam_lab,62,641,0.0967
仅作重抽取线索,follow_up_prognosis,55,71,0.7746
不建议复用,etiology_pathogenesis,51,382,0.1335
仅作重抽取线索,classification_risk,30,35,0.8571
不建议复用,diagnosis_differential,25,179,0.1397
不建议复用,follow_up_prognosis,16,71,0.2254
不建议复用,classification_risk,5,35,0.1429
