disease_name,backfill_mentions,exists_in_d6_matrix,d6_parent,d6_subject_kind,d6_status,recommended_action
Brugada综合征,9,no,,,,需先做疾病别名/层级映射，不能直接归并
ST段抬高型心肌梗死,139,no,,,,需先做疾病别名/层级映射，不能直接归并
三尖瓣下移畸形,33,no,,,,需先做疾病别名/层级映射，不能直接归并
下肢动脉硬化闭塞症,28,yes,心脏骤停与心脏性猝死,disease_or_topic,source_covered_ready,可按D6章节范围归并审计
不稳定型心绞痛,181,no,,,,需先做疾病别名/层级映射，不能直接归并
主动脉夹层,239,yes,心脏骤停与心脏性猝死,disease_or_topic,source_covered_ready,可按D6章节范围归并审计
主动脉瓣反流,147,yes,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,可按D6章节范围归并审计
主动脉瓣狭窄,231,yes,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,可按D6章节范围归并审计
主动脉瘤,57,no,,,,需先做疾病别名/层级映射，不能直接归并
主动脉窦瘤,39,no,,,,需先做疾病别名/层级映射，不能直接归并
主动脉缩窄,60,no,,,,需先做疾病别名/层级映射，不能直接归并
二叶主动脉瓣,23,no,,,,需先做疾病别名/层级映射，不能直接归并
二尖瓣反流,214,yes,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,可按D6章节范围归并审计
二尖瓣狭窄,256,yes,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,可按D6章节范围归并审计
人工瓣膜心内膜炎,58,no,,,,需先做疾病别名/层级映射，不能直接归并
儿茶酚胺敏感性室性心动过速,69,no,,,,需先做疾病别名/层级映射，不能直接归并
先天性主动脉缩窄,11,no,,,,需先做疾病别名/层级映射，不能直接归并
冠状动脉痉挛,23,yes,冠状动脉疾病的其他表现形式,disease_or_topic,source_limited_ready_as_textbook_core,可按D6章节范围归并审计
冠状动脉瘘,18,no,,,,需先做疾病别名/层级映射，不能直接归并
冠状动脉粥样硬化性心脏病,858,no,,,,需先做疾病别名/层级映射，不能直接归并
动脉导管未闭,88,no,,,,需先做疾病别名/层级映射，不能直接归并
动脉粥样硬化,744,yes,动脉粥样硬化和冠状动脉粥样硬化性心脏病,disease_or_topic,source_limited_ready_as_textbook_core,可按D6章节范围归并审计
原发性醛固酮增多症,65,no,,,,需先做疾病别名/层级映射，不能直接归并
原发性高血压,138,yes,高血压,disease_or_topic,source_limited_ready_as_textbook_core,可按D6章节范围归并审计
嗜铬细胞瘤和副神经节瘤,53,no,,,,需先做疾病别名/层级映射，不能直接归并
多瓣膜病,20,yes,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,可按D6章节范围归并审计
室性心动过速,510,yes,室性心律失常,disease_or_topic,source_limited_ready_as_textbook_core,可按D6章节范围归并审计
室性期前收缩,239,yes,室性心律失常,disease_or_topic,source_limited_ready_as_textbook_core,可按D6章节范围归并审计
室间隔缺损,156,no,,,,需先做疾病别名/层级映射，不能直接归并
心力衰竭,903,no,,,,需先做疾病别名/层级映射，不能直接归并
心包积液及心脏压塞,516,yes,心包疾病,disease_or_topic,source_covered_ready,可按D6章节范围归并审计
心室扑动与心室颤动,377,yes,室性心律失常,disease_or_topic,source_limited_ready_as_textbook_core,可按D6章节范围归并审计
心房扑动,297,yes,房性心律失常,disease_or_topic,source_limited_ready_as_textbook_core,可按D6章节范围归并审计
心房颤动,869,yes,房性心律失常,disease_or_topic,source_limited_ready_as_textbook_core,可按D6章节范围归并审计
心肌梗死后综合征,10,no,,,,需先做疾病别名/层级映射，不能直接归并
