parent_category,audited_subject_count,source_covered_ready,source_limited_ready_as_textbook_core,container_rollup_only,ready_rate,limited_rate
冠状动脉疾病的其他表现形式,1,0,1,0,0.0,1.0
动脉粥样硬化和冠状动脉粥样硬化性心脏病,2,1,1,0,0.5,0.5
室性心律失常,3,0,3,0,0.0,1.0
心力衰竭,3,0,3,0,0.0,1.0
心包疾病,3,3,0,0,1.0,0.0
心律失常,2,0,2,0,0.0,1.0
心肌疾病,6,6,0,0,1.0,0.0
心脏传导阻滞,2,0,2,0,0.0,1.0
心脏瓣膜病,6,0,6,0,0.0,1.0
心脏骤停与心脏性猝死,3,2,1,0,0.6667,0.3333
急性冠脉综合征,2,2,0,0,1.0,0.0
慢性冠状动脉综合征,3,1,2,0,0.3333,0.6667
成人常见先天性心血管病,1,1,0,0,1.0,0.0
房室交界性心律失常,3,0,3,0,0.0,1.0
房性心律失常,4,0,4,0,0.0,1.0
窦性心律失常,4,0,4,0,0.0,1.0
第三篇循环系统疾病,2,1,1,0,0.5,0.5
糖尿病相关心血管疾病,3,0,3,0,0.0,1.0
高血压,2,0,2,0,0.0,1.0
